id,Calendar_age,Calendar_age_error,Reservoir_Min_Range_at_95.0%,Reservoir_Max_Range_at_95.0%,Mode,MidRange,Median
SS172,15946.0,437.0,-1258.0,1513.0,981.0,128.0,997.0
SS172,16680.0,548.0,-3169.0,461.0,-185.0,-1354.0,-155.0
SS172,17724.0,542.0,-2232.0,1619.0,1001.0,-306.0,949.0
SS172,18290.0,541.0,-2997.0,754.0,-100.0,-1122.0,7.0
SS172,19139.0,497.0,-1198.0,2201.0,1288.0,502.0,1367.0
SS172,19658.0,401.0,-1492.0,1136.0,518.0,-178.0,559.0
SS172,20849.0,426.0,-770.0,2390.0,1518.0,810.0,1761.0
SS172,21745.0,412.0,-1980.0,1122.0,753.0,-429.0,710.0
SS172,24039.0,359.0,-1587.0,1662.0,958.0,38.0,972.0
SS172,24466.0,230.0,-756.0,1057.0,710.0,150.0,708.0
SS172,26518.0,286.0,-1410.0,1314.0,738.0,-48.0,829.0
SS172,27600.0,290.0,-1365.0,1589.0,996.0,112.0,924.0
SS172,28849.0,909.0,-6461.0,668.0,-1394.0,-2896.0,-816.0
SS172,32962.0,592.0,-3365.0,1272.0,925.0,-1046.0,765.0
SS172,35868.0,295.0,-1471.0,1243.0,827.0,-114.0,780.0
SS172,37062.0,299.0,-1427.0,1029.0,422.0,-199.0,477.0
KNR195-5-CDH23,1074.0,46.0,27.0,612.0,500.0,320.0,510.0
KNR195-5-CDH23,3116.0,47.0,75.0,549.0,471.0,312.0,469.0
KNR195-5-CDH23,3801.0,46.0,48.0,555.0,480.0,302.0,471.0
KNR195-5-CDH23,4538.0,56.0,21.0,587.0,462.0,304.0,473.0
KNR195-5-CDH23,4538.0,57.0,6.0,588.0,461.0,297.0,473.0
KNR195-5-CDH23,5921.0,28.0,165.0,682.0,532.0,424.0,553.0
KNR195-5-CDH23,6460.0,39.0,158.0,642.0,547.0,400.0,545.0
KNR195-5-CDH23,6781.0,52.0,61.0,667.0,545.0,364.0,549.0
KNR195-5-CDH23,9048.0,56.0,-16.0,647.0,437.0,316.0,455.0
KNR195-5-CDH23,9793.0,98.0,-299.0,566.0,431.0,134.0,430.0
KNR195-5-CDH23,10744.0,74.0,-31.0,548.0,391.0,258.0,409.0
KNR195-5-CDH23,11950.0,70.0,39.0,608.0,481.0,324.0,487.0
KNR195-5-CDH23,12975.0,57.0,-71.0,715.0,605.0,322.0,605.0
KNR195-5-CDH23,12976.0,57.0,-72.0,715.0,605.0,322.0,604.0
KNR195-5-CDH23,13321.0,60.0,-162.0,700.0,532.0,269.0,547.0
KNR195-5-CDH23,13536.0,82.0,-294.0,718.0,498.0,212.0,506.0
KNR195-5-CDH23,14375.0,171.0,-527.0,657.0,415.0,65.0,424.0
KNR195-5-CDH26,7378.0,31.0,172.0,696.0,624.0,434.0,620.0
KNR195-5-CDH26,10153.0,44.0,-41.0,638.0,551.0,298.0,534.0
KNR195-5-CDH26,11948.0,69.0,41.0,609.0,484.0,325.0,489.0
KNR195-5-CDH26,12978.0,48.0,7.0,694.0,603.0,350.0,603.0
KNR195-5-CDH26,13705.0,58.0,-82.0,626.0,519.0,272.0,513.0
KNR195-5-CDH26,14913.0,84.0,-154.0,739.0,578.0,292.0,577.0
KNR195-5-CDH26,15955.0,80.0,-39.0,765.0,623.0,363.0,620.0
KNR195-5-CDH26,17513.0,90.0,34.0,915.0,708.0,474.0,719.0
KNR195-5-CDH26,19675.0,85.0,-31.0,897.0,693.0,433.0,702.0
KNR195-5-CDH26,20460.0,82.0,-57.0,963.0,794.0,453.0,772.0
KNR195-5-CDH26,21928.0,123.0,-515.0,1118.0,882.0,302.0,869.0
KNR195-5-CDH26,24098.0,96.0,-160.0,1011.0,844.0,426.0,828.0
KNR195-5-CDH41,10323.0,118.0,-339.0,686.0,370.0,174.0,389.0
KNR195-5-CDH41,11558.0,129.0,-155.0,574.0,461.0,210.0,459.0
KNR195-5-CDH41,13427.0,130.0,-585.0,872.0,605.0,144.0,586.0
KNR195-5-CDH41,13961.5,68.0,-142.0,615.0,514.0,236.0,505.0
KNR195-5-CDH41,14281.0,101.0,-134.0,556.0,408.0,211.0,410.0
KNR195-5-CDH41,14871.5,264.0,-2061.0,-468.0,-621.0,-1264.0,-668.0
KNR195-5-CDH41,15722.0,85.0,41.0,843.0,688.0,442.0,685.0
KNR195-5-CDH41,15907.0,76.0,471.0,1245.0,1102.0,858.0,1101.0
KNR195-5-CDH41,16060.0,64.0,-15.0,734.0,595.0,360.0,597.0
KNR195-5-CDH41,16257.0,85.0,-1427.0,-643.0,-776.0,-1035.0,-784.0
KNR195-5-CDH41,16484.0,74.0,-28.0,803.0,655.0,388.0,652.0
KNR195-5-CDH41,16735.0,94.0,-135.0,793.0,645.0,329.0,648.0
KNR195-5-CDH41,18125.5,144.0,-438.0,1106.0,933.0,334.0,883.0
KNR195-5-CDH41,20971.5,158.0,-309.0,1063.0,670.0,377.0,734.0
KNR195-5-CDH41,21813.0,129.0,-489.0,1072.0,867.0,292.0,855.0
KNR195-5-CDH41,22772.0,142.0,-651.0,1166.0,903.0,258.0,885.0
KNR195-5-CDH41,23479.5,124.0,-394.0,1158.0,904.0,382.0,905.0
KNR195-5-CDH41,23851.5,114.0,-550.0,1211.0,661.0,330.0,737.0
KNR195-5-CDH41,25178.5,569.0,-10381.0,-6032.0,-6909.0,-8206.0,-6724.0
KNR195-5-CDH41,26171.0,618.0,-7806.0,-2948.0,-4029.0,-5377.0,-4051.0
KNR195-5-CDH41,27277.5,562.0,-2517.0,2637.0,2168.0,60.0,1653.0
KNR195-5-CDH41,27519.0,398.0,-1989.0,1559.0,715.0,-215.0,689.0
KNR195-5-CDH41,28783.0,475.0,-1252.0,3356.0,2920.0,1052.0,2642.0
KNR195-5-CDH41,29612.0,273.0,-2119.0,1425.0,896.0,-347.0,880.0
KNR195-5-GGC43,1381.0,52.0,-54.0,634.0,469.0,290.0,474.0
