Event,Latitude,Longitude,Cal age [ka BP],"Cal age std e [±] (calculated, 1 sigma)","Age dated [ka] (planktic, Age, 14C AMS)","Age std e [±] (planktic, calculated, 1 sigma)","Age dated [ka] (Coeval atmospheric 14C age, A...)"
202-1240,0.021833333,-86.46266667,16973.75,200.0,14794.0,77.0,13920.0
202-1240,0.021833333,-86.46266667,18291.0,200.0,16713.0,91.0,15111.0
202-1240,0.021833333,-86.46266667,19704.5,200.0,17546.0,88.0,16370.000000000002
202-1240,0.021833333,-86.46266667,22245.0,200.0,19492.0,154.0,18276.0
202-1240,0.021833333,-86.46266667,24483.0,200.0,20705.0,116.0,20356.0
202-1240,0.021833333,-86.46266667,26214.0,200.0,23310.0,170.0,21965.0
SO161/5_22SL,-36.22,-73.67,10056.5,415.0,9160.0,380.0,8910.5
SO161/5_22SL,-36.22,-73.67,11591.0,98.0,11050.0,55.0,10010.0
SO161/5_22SL,-36.22,-73.67,12492.0,128.0,11700.0,100.0,10512.0
SO161/5_22SL,-36.22,-73.67,13853.0,115.0,13050.0,100.0,12017.0
SO161/5_22SL,-36.22,-73.67,14532.0,114.0,13450.0,65.0,12436.0
SO161/5_22SL,-36.22,-73.67,14967.0,103.0,14050.0,90.0,12560.0
SO161/5_22SL,-36.22,-73.67,15216.5,86.0,14200.0,75.0,12756.0
SO161/5_22SL,-36.22,-73.67,15710.5,81.0,14650.0,65.0,13104.0
SO161/5_22SL,-36.22,-73.67,15969.0,81.0,14800.0,75.0,13282.0
SO161/5_22SL,-36.22,-73.67,16360.499999999998,80.0,15100.0,75.0,13572.0
SO161/5_22SL,-36.22,-73.67,16658.5,82.0,15350.0,70.0,13767.0
SO161/5_22SL,-36.22,-73.67,17084.0,82.0,15700.0,80.0,14088.0
SO161/5_22SL,-36.22,-73.67,17490.0,88.0,16000.0,65.0,14435.0
SO161/5_22SL,-36.22,-73.67,18159.0,75.0,16100.000000000002,75.0,14761.0
SO161/5_22SL,-36.22,-73.67,18682.0,58.0,16600.0,70.0,15327.0
SO161/5_22SL,-36.22,-73.67,18859.0,55.0,16850.0,75.0,15587.0
SO161/5_22SL,-36.22,-73.67,18974.0,60.0,16800.0,110.0,15740.0
SO161/5_22SL,-36.22,-73.67,19098.0,71.0,16900.0,85.0,15830.0
SO161/5_22SL,-36.22,-73.67,19494.0,82.0,17300.0,70.0,16129.000000000002
CH84-14,41.73,142.55,10543.0,161.0,10000.0,140.0,9316.0
CH84-14,41.73,142.55,11050.0,144.0,10230.0,140.0,9542.0
CH84-14,41.73,142.55,11540.5,157.0,10640.0,150.0,10033.0
CH84-14,41.73,142.55,12052.5,180.0,10870.0,150.0,10330.0
CH84-14,41.73,142.55,13292.5,139.0,12180.0,160.0,11380.0
CH84-14,41.73,142.55,13828.0,163.0,12820.0,180.0,12020.0
CH84-14,41.73,142.55,14245.0,171.0,12750.0,150.0,12322.0
CH84-14,41.73,142.55,14732.0,172.0,13060.0,140.0,12386.0
CH84-14,41.73,142.55,15599.5,179.0,13830.0,150.0,13012.0
CH84-14,41.73,142.55,17765.0,226.0,15570.0,210.0,14486.0
JF-FI-19PC,62.817,-3.867,11080.0,200.0,9998.0,57.0,9623.0
JF-FI-19PC,62.817,-3.867,12800.0,200.0,12293.0,62.0,10908.0
JF-FI-19PC,62.817,-3.867,13760.0,200.0,12676.0,58.0,11864.0
JF-FI-19PC,62.817,-3.867,13940.0,200.0,12901.0,63.0,12020.0
JF-FI-19PC,62.817,-3.867,14250.0,200.0,12921.0,100.0,12323.0
JF-FI-19PC,62.817,-3.867,14310.0,200.0,13174.0,66.0,12353.0
JF-FI-19PC,62.817,-3.867,14560.0,200.0,13474.0,108.0,12449.0
JF-FI-19PC,62.817,-3.867,16460.0,200.0,14293.0,56.0,13632.0
JF-FI-19PC,62.817,-3.867,16910.0,200.0,14561.0,57.0,13873.0
JF-FI-19PC,62.817,-3.867,17590.0,200.0,15225.0,64.0,14465.0
JF-FI-19PC,62.817,-3.867,18160.0,200.0,15384.0,60.0,14762.0
JF-FI-19PC,62.817,-3.867,18730.0,200.0,15878.0,65.0,15391.0
JF-FI-19PC,62.817,-3.867,19300.0,200.0,16323.0,82.0,15985.0
JF-FI-19PC,62.817,-3.867,19870.0,200.0,17200.0,77.0,16443.0
JF-FI-19PC,62.817,-3.867,20440.0,200.0,17904.0,87.0,16893.0
JF-FI-19PC,62.817,-3.867,21010.0,200.0,18931.0,88.0,17472.0
JF-FI-19PC,62.817,-3.867,26070.0,200.0,23610.0,143.0,21954.0
JF-FI-19PC,62.817,-3.867,26330.0,200.0,23484.0,108.0,22042.0
JF-FI-19PC,62.817,-3.867,26740.0,200.0,23962.0,170.0,22366.0
145-887,54.62,-148.75,9270.0,376.0,9305.0,25.0,8249.0
145-887,54.62,-148.75,12627.0,237.0,11810.0,30.0,10600.0
145-887,54.62,-148.75,13296.0,100.0,12530.0,30.0,11388.0
145-887,54.62,-148.75,13828.0,174.0,12995.0,30.0,12020.0
145-887,54.62,-148.75,16696.0,215.0,15010.0,50.0,13788.0
145-887,54.62,-148.75,18421.5,396.0,16640.0,45.0,15238.0
145-887,54.62,-148.75,18885.5,396.0,16405.0,45.0,15631.0
145-887,54.62,-148.75,20120.0,241.0,17970.0,70.0,16640.0
MD02-2489,54.39,-148.92,11773.0,90.0,11080.0,60.0,10148.0
MD02-2489,54.39,-148.92,12740.0,24.0,11870.0,30.0,10783.0
MD02-2489,54.39,-148.92,12993.0,70.0,12120.0,70.0,11050.0
V34-98,50.11,153.2,5861.0,44.0,6260.0,40.0,5051.400000000001
Site_936,51.02,148.31,13832.0,91.0,13040.0,70.0,12016.0
Site_936,51.02,148.31,19532.0,172.0,17530.0,140.0,16181.999999999998
Site_936,51.02,148.31,24431.0,210.0,21760.0,170.0,20352.0
LV27-2-4,54.5,144.75,3395.0,18.0,4205.0,15.0,3186.0
LV27-2-4,54.5,144.75,5889.0,13.0,6230.0,15.0,5067.8
LV27-2-4,54.5,144.75,9035.0,20.0,9150.0,15.0,8183.0
LV27-2-4,54.5,144.75,11170.0,32.0,10760.0,35.0,9680.0
LV27-2-4,54.5,144.75,14036.0,26.0,13150.0,25.0,12098.0
MD07-3076,-44.07,-14.2,29090.0,200.0,25407.0,85.0,24792.0
MD07-3076,-44.07,-14.2,32259.0,200.0,28540.0,89.0,28393.0
MD07-3076,-44.07,-14.2,32915.0,200.0,28827.0,91.0,28500.0
MD07-3076,-44.07,-14.2,34508.0,200.0,30195.0,411.0,30101.0
MD07-3076,-44.07,-14.2,35382.0,200.0,31235.0,316.0,31047.0
MD07-3076,-44.07,-14.2,36341.0,200.0,31533.0,394.0,32081.000000000004
MD07-3076,-44.07,-14.2,36907.0,200.0,32447.000000000004,438.0,32549.0
MD07-3076,-44.07,-14.2,37332.0,200.0,32159.0,463.0,32945.0
MD07-3076,-44.07,-14.2,38181.0,200.0,34174.0,758.0,33389.0
MD07-3076,-44.07,-14.2,38322.0,200.0,33429.0,421.0,33436.0
MD07-3076,-44.07,-14.2,38747.0,200.0,35747.0,926.0,33581.0
MD07-3076,-44.07,-14.2,39713.0,200.0,35620.0,916.0,34614.0
MD07-3076,-44.07,-14.2,40137.0,200.0,36236.0,986.0,35024.0
MD07-3076,-44.07,-14.2,40654.0,200.0,35879.0,680.0,35468.0
MD12-3396Cq,-47.73133,86.69517,8205.0,237.0,7836.0,70.0,7433.0
MD12-3396Cq,-47.73133,86.69517,11924.0,292.0,11116.0,90.0,10207.0
MD12-3396Cq,-47.73133,86.69517,12902.0,362.0,11711.0,98.0,11004.0
MD12-3396Cq,-47.73133,86.69517,13423.0,325.0,12094.0,97.0,11537.0
MD12-3396Cq,-47.73133,86.69517,14689.0,282.0,13328.0,120.0,12460.0
MD12-3396Cq,-47.73133,86.69517,18352.0,307.0,16468.0,156.0,15224.0
MD12-3396Cq,-47.73133,86.69517,27653.0,850.0,25746.0,317.0,23358.0
MD12-3396Cq,-47.73133,86.69517,34093.0,500.0,31549.0,1151.0,29443.0
MD12-3396Cq,-47.73133,86.69517,947.0,165.0,1835.0,61.0,1036.0
MD12-3396Cq,-47.73133,86.69517,947.0,165.0,1835.0,61.0,1036.0
MD12-3396Cq,-47.73133,86.69517,1825.0,230.0,2495.0,63.0,1902.0
MD12-3396Cq,-47.73133,86.69517,2306.0,301.0,2839.0,62.0,2233.0
MD12-3396Cq,-47.73133,86.69517,2958.0,217.0,3434.0,66.0,2846.0
MD12-3396Cq,-47.73133,86.69517,4159.0,281.0,4394.0,69.0,3820.0
MD12-3396Cq,-47.73133,86.69517,5267.0,270.0,4985.0,70.0,4484.0
MD12-3396Cq,-47.73133,86.69517,6028.0,271.0,5814.0,74.0,5324.8
MD12-3396Cq,-47.73133,86.69517,7275.0,331.0,6584.0,77.0,6371.0
MD12-3396Cq,-47.73133,86.69517,7637.0,204.0,7423.0,82.0,6794.6
MD12-3396Cq,-47.73133,86.69517,7933.0,205.0,7487.0,80.0,7082.200000000001
MD12-3396Cq,-47.73133,86.69517,8270.0,255.0,7929.0,85.0,7417.0
MD12-3396Cq,-47.73133,86.69517,8975.0,292.0,8472.0,91.0,7970.0
MD12-3396Cq,-47.73133,86.69517,9405.0,340.0,9085.0,90.0,8327.0
MD12-3396Cq,-47.73133,86.69517,10254.0,422.0,10124.0,109.0,9162.800000000001
MD12-3396Cq,-47.73133,86.69517,11114.0,291.0,10567.0,102.0,9657.0
MD12-3396Cq,-47.73133,86.69517,11483.0,253.0,10921.0,107.0,10018.0
MD12-3396Cq,-47.73133,86.69517,11750.0,254.0,11256.0,111.0,10121.0
MD12-3396Cq,-47.73133,86.69517,11780.0,257.0,11139.0,107.0,10141.0
MD12-3396Cq,-47.73133,86.69517,12084.0,330.0,11069.0,110.0,10337.0
MD12-3396Cq,-47.73133,86.69517,13005.0,337.0,11838.0,115.0,11062.0
MD12-3396Cq,-47.73133,86.69517,13706.0,294.0,12422.0,60.0,11825.0
MD12-3396Cq,-47.73133,86.69517,14206.0,303.0,12833.0,123.0,12306.0
MD12-3396Cq,-47.73133,86.69517,14299.0,281.0,12797.0,138.0,12342.0
MD12-3396Cq,-47.73133,86.69517,14299.0,281.0,12797.0,138.0,12342.0
MD12-3396Cq,-47.73133,86.69517,14603.0,277.0,13109.0,137.0,12467.0
MD12-3396Cq,-47.73133,86.69517,14603.0,277.0,13109.0,137.0,12467.0
MD12-3396Cq,-47.73133,86.69517,14906.0,307.0,13412.0,132.0,12512.0
MD12-3396Cq,-47.73133,86.69517,15805.0,488.0,14399.0,144.0,13182.0
MD12-3396Cq,-47.73133,86.69517,17652.0,458.0,15517.0,173.0,14461.0
MD12-3396Cq,-47.73133,86.69517,18034.0,353.0,16267.0,176.0,14698.0
MD12-3396Cq,-47.73133,86.69517,18455.0,308.0,16106.000000000002,205.0,15210.0
MD12-3396Cq,-47.73133,86.69517,18642.0,330.0,17039.0,190.0,15239.0
MD12-3396Cq,-47.73133,86.69517,19594.0,713.0,17833.0,200.0,16300.0
MD12-3396Cq,-47.73133,86.69517,19594.0,713.0,17833.0,200.0,16300.0
MD12-3396Cq,-47.73133,86.69517,21381.0,919.0,18879.0,235.0,17649.0
MD12-3396Cq,-47.73133,86.69517,22381.0,1041.0,19992.0,266.0,18454.0
MD12-3396Cq,-47.73133,86.69517,25465.0,959.0,22688.0,356.0,21106.0
MD12-3396Cq,-47.73133,86.69517,25906.0,842.0,23494.0,390.0,21623.0
MD12-3396Cq,-47.73133,86.69517,26003.0,887.0,22244.0,340.0,21860.0
MD04-2829CQ,58.9,-9.6,18484.96095,200.0,16602.57143,150.0,15167.0
MD04-2829CQ,58.9,-9.6,19380.58774,200.0,17196.90625,150.0,16018.0
MD04-2829CQ,58.9,-9.6,20297.81212,200.0,17920.5,150.0,16776.0
MD04-2829CQ,58.9,-9.6,20921.08944,200.0,18619.5,150.0,17363.0
MD04-2829CQ,58.9,-9.6,22986.89602,200.0,20384.61538,150.0,19074.0
MD04-2829CQ,58.9,-9.6,23400.46384,200.0,20665.333329999998,150.0,19497.0
MD04-2829CQ,58.9,-9.6,25172.456860000002,200.0,22292.25,150.0,20868.0
MD04-2829CQ,58.9,-9.6,27921.50549,200.0,24688.0,150.0,23920.0
MD04-2829CQ,58.9,-9.6,28981.67621,200.0,26045.347830000002,150.0,24712.0
gh02-1030,42.23,144.21,10166.0,61.0,9840.0,40.0,8932.800000000001
gh02-1030,42.23,144.21,10650.0,87.0,10240.0,60.0,9404.0
gh02-1030,42.23,144.21,11068.5,78.0,10510.0,60.0,9584.9
gh02-1030,42.23,144.21,11288.0,71.0,10690.0,60.0,9935.0
gh02-1030,42.23,144.21,11721.0,100.0,10950.0,60.0,10090.0
gh02-1030,42.23,144.21,13882.0,104.0,12900.0,70.0,12057.0
gh02-1030,42.23,144.21,14272.0,97.0,13270.0,70.0,12327.0
gh02-1030,42.23,144.21,14432.0,121.0,13060.0,70.0,12399.0
gh02-1030,42.23,144.21,14913.0,65.0,13470.0,40.0,12515.0
gh02-1030,42.23,144.21,16867.0,243.0,15090.0,50.0,13852.0
gh02-1030,42.23,144.21,16976.0,78.0,15010.0,80.0,13922.0
gh02-1030,42.23,144.21,17124.0,66.0,15140.0,60.0,14143.0
gh02-1030,42.23,144.21,18517.0,87.0,16379.999999999998,60.0,15118.0
gh02-1030,42.23,144.21,20100.0,102.0,17780.0,70.0,16624.0
gh02-1030,42.23,144.21,21762.0,204.0,19130.0,180.0,17847.0
BO04-PC11,34.21908333,137.7117,2731.0,39.0,3180.0,40.0,2573.0
BO04-PC11,34.21908333,137.7117,8690.0,62.0,8430.0,40.0,7906.0
BO04-PC11,34.21908333,137.7117,13360.0,62.0,12120.0,60.0,11519.0
BO04-PC11,34.21908333,137.7117,18482.0,78.0,16640.0,60.0,15172.0
BO04-PC11,34.21908333,137.7117,19071.0,97.0,17210.0,80.0,15807.0
AII125-8-55,27.47,-112.1,2729.0,31.0,3420.0,35.0,2572.0
AII125-8-55,27.47,-112.1,4343.0,50.0,4710.0,40.0,3875.0
AII125-8-55,27.47,-112.1,5463.0,54.0,5610.0,45.0,4701.2
AII125-8-56,27.47,-112.1,5483.0,63.0,5630.0,60.0,4775.400000000001
AII125-8-56,27.47,-112.1,9540.0,79.0,9355.0,70.0,8585.0
AII125-8-56,27.47,-112.1,10035.0,101.0,9705.0,75.0,8884.0
AII125-8-56,27.47,-112.1,10579.0,126.0,10125.0,80.0,9375.400000000001
AII125-8-56,27.47,-112.1,11753.0,120.0,10945.0,75.0,10127.0
AII125-8-56,27.47,-112.1,12539.0,92.0,11490.0,90.0,10516.0
AII125-8-56,27.47,-112.1,13393.0,85.0,12395.0,80.0,11511.0
AII125-8-56,27.47,-112.1,14864.0,146.0,13400.0,90.0,12496.0
AII125-8-56,27.47,-112.1,15245.0,128.0,13685.0,100.0,12779.0
AII125-8-56,27.47,-112.1,16408.0,131.0,14580.0,100.0,13607.0
AII125-8-56,27.47,-112.1,16786.0,121.0,14870.0,100.0,13823.0
B34-91,49.142,150.337,19457.0,101.0,17200.0,80.0,16085.999999999998
Nesmeyanov25-1-GGC15,48.608,150.428,19733.0,99.0,17650.0,80.0,16353.000000000002
Nesmeyanov25-1-GGC18,48.752,150.431,18163.0,144.0,16250.0,120.0,14766.0
Nesmeyanov25-1-GGC20,48.874,150.432,19367.0,119.0,17350.0,100.0,16010.000000000002
Nesmeyanov25-1-GGC27,49.601,150.18,18695.0,223.0,16750.0,200.0,15348.0
KNR140-26GGC,29.7,-73.4,19185.0,118.0,16650.0,100.0,15930.0
KNR140-43GGC,32.02,-76.07,21250.0,140.0,18350.0,95.0,17575.0
KNR140-50GGC,32.75,-76.23,12578.0,45.0,11200.0,50.0,10472.0
KNR140-51GGC,32.78,-76.28,12694.0,51.0,11350.0,65.0,10650.0
KNR140-66GGC,32.5,-76.3,12923.0,57.0,11600.0,50.0,11032.0
KNR140-01JPC,32.38,-76.38,12869.0,71.0,11550.0,70.0,10965.0
KNR140-12JPC,29.07,-72.9,12290.0,87.0,10950.0,55.0,10417.0
KNR140-12JPC,29.07,-72.9,18208.0,84.0,15750.0,75.0,14854.0
KNR140-22JPC,28.25,-74.4,18161.0,106.0,15700.0,95.0,14763.0
KNR140-02JPC,32.23,-76.28,12365.0,193.0,11050.0,160.0,10366.0
HU89038-8PC,33.69,-57.575,17079.0,69.0,14800.0,60.0,14078.0
HU89038-8PC,33.69,-57.575,19247.0,110.0,16700.0,90.0,15971.0
OCE326-GGC5,33.69,-57.575,17025.0,75.0,14750.0,65.0,13981.0
64-480,27.9,-111.65,19617.0,159.0,17000.0,130.0,16340.0
KNR73-3PC,-0.374,-106.179,3290.0,22.0,3555.0,15.0,3074.0
KNR73-3PC,-0.374,-106.179,6909.0,30.0,6620.0,25.0,6062.8
KNR73-3PC,-0.374,-106.179,17001.0,96.0,14727.5,80.0,13948.0
KNR73-3PC,-0.374,-106.179,25752.0,186.0,22380.0,190.0,21373.0
KNR73-3PC,-0.374,-106.179,28878.0,269.0,25520.0,250.0,24660.0
KNR73-4PC,1.848,-110.268,5323.0,21.0,5170.0,15.0,4648.799999999999
KNR73-4PC,1.848,-110.268,6753.0,32.0,6487.5,25.0,5954.2
KNR73-4PC,1.848,-110.268,13332.0,49.0,12010.0,45.0,11479.0
KNR73-4PC,1.848,-110.268,18019.0,77.0,15550.0,75.0,14692.0
KNR73-4PC,1.848,-110.268,24029.0,150.0,20830.0,140.0,20031.0
KNR73-4PC,1.848,-110.268,26781.0,142.0,23365.0,120.0,22356.0
KNR73-6PG,4.002,-114.187,19189.0,85.0,16650.0,65.0,15934.0
ME0005-24JC,0.022,-86.463,17721.0,98.0,15300.0,70.0,14465.0
ME0005-24JC,0.022,-86.463,21327.0,144.0,18400.0,95.0,17588.0
PLDS-007G,-3.338,-102.453,16271.999999999998,91.0,14150.0,70.0,13492.0
PLDS-007G,-3.338,-102.453,18932.0,129.0,16425.0,120.0,15696.0
PLDS-007G,-3.338,-102.453,20436.0,141.0,17675.0,120.0,16889.0
RNDB-PC11,51.073,168.975,13963.0,66.0,13100.0,50.0,12001.0
RNDB-PC13,49.725,168.312,10714.0,64.0,10450.0,40.0,9481.0
RNDB-PC13,49.725,168.312,13846.0,89.0,13000.0,70.0,12012.0
RNDB-PC13,49.725,168.312,13902.0,61.0,13050.0,50.0,12066.0
S67-FFC15,-1.608,162.558,13329.0,203.0,12000.0,190.0,11476.0
S67-FFC15,-1.608,162.558,25185.0,228.0,21800.0,210.0,20885.0
VNTR01-10GC,-4.507,-102.015,16303.0,70.0,14175.0,55.0,13519.0
VNTR01-10GC,-4.507,-102.015,25617.0,88.0,22200.0,90.0,21174.0
KNR140-39GGC,31.66666667,-75.41666667,1364.0,39.0,1980.0,35.0,1493.0
KNR140-39GGC,31.66666667,-75.41666667,6907.0,49.0,6620.0,40.0,6062.400000000001
KNR140-39GGC,31.66666667,-75.41666667,12696.0,35.0,11350.0,50.0,10652.0
KNR140-39GGC,31.66666667,-75.41666667,19487.0,94.0,16900.0,75.0,16120.000000000002
KNR140-37JPC,31.69017,-75.43,18209.0,94.0,15750.0,80.0,14856.0
KNR140-37JPC,31.69017,-75.43,21121.0,120.0,18250.0,95.0,17536.0
KNR140-37JPC,31.69017,-75.43,24537.0,155.0,21250.0,120.0,20386.0
KNR140-37JPC,31.69017,-75.43,27272.5,215.0,23900.0,250.0,22986.0
KNR140-12JPC,29.07,-72.9,17252.0,94.0,14950.0,80.0,14148.0
KNR140-12JPC,29.07,-72.9,18964.5,142.0,16450.0,130.0,15731.0
KNR178-2GC,36.1202,-72.292,19431.0,69.0,16850.0,60.0,16059.000000000002
KNR178-2GC,36.1202,-72.292,20239.0,81.0,17500.0,70.0,16727.0
KNR178-2GC,36.1202,-72.292,20352.0,65.0,17600.0,60.0,16819.0
KNR178-2GC,36.1202,-72.292,21256.0,95.0,18350.0,70.0,17576.0
KNR197-10-CDH42,43.46451667,-54.75573333,17717.0,125.0,15300.0,95.0,14464.0
KNR197-10-CDH42,43.46451667,-54.75573333,18319.0,90.0,15850.0,75.0,15178.0
KNR197-10-CDH42,43.46451667,-54.75573333,19551.0,127.0,16950.0,100.0,16215.0
KNR197-10-CDH42,43.46451667,-54.75573333,19934.0,81.0,17250.0,65.0,16529.0
KNR197-10-CDH42,43.46451667,-54.75573333,21407.0,217.0,18450.0,160.0,17696.0
KNR197-10-GGC17,36.405,-48.53983333,14915.0,85.0,13100.0,60.0,12516.0
KNR197-10-GGC17,36.405,-48.53983333,20460.0,43.0,17700.0,40.0,16917.0
KNR31GPC5,33.68666667,-57.615,12421.5,375.0,11150.0,310.0,10344.0
OCE326-GGC14,43.07,-55.83,13844.0,90.0,12450.0,70.0,12011.0
OCE326-GGC14,43.07,-55.83,14106.0,89.0,12650.0,60.0,12236.0
OCE326-GGC14,43.07,-55.83,14257.0,98.0,12750.0,55.0,12324.0
OCE326-GGC14,43.07,-55.83,15557.0,101.0,13600.0,75.0,12975.0
146-893A,34.28,-120.03,1006.9999999999999,60.0,1850.0,60.0,1135.0
146-893A,34.28,-120.03,1721.0,86.0,2520.0,70.0,1834.0
146-893A,34.28,-120.03,2988.0,89.0,3555.0,70.0,2865.0
146-893A,34.28,-120.03,4577.0,73.0,4800.0,50.0,4104.0
146-893A,34.28,-120.03,6197.0,77.0,6200.0,70.0,5377.2
146-893A,34.28,-120.03,8294.0,99.0,8235.0,90.0,7436.0
146-893A,34.28,-120.03,9362.0,184.0,9100.0,150.0,8316.0
146-893A,34.28,-120.03,10647.0,130.0,10080.0,80.0,9395.0
146-893A,34.28,-120.03,10855.0,126.0,10210.0,90.0,9573.0
146-893A,34.28,-120.03,10925.0,101.0,10260.0,70.0,9616.0
146-893A,34.28,-120.03,12913.0,230.0,11810.0,240.0,11020.0
146-893A,34.28,-120.03,13430.0,74.0,12340.0,70.0,11541.0
146-893A,34.28,-120.03,14331.0,265.0,12990.0,170.0,12378.0
146-893A,34.28,-120.03,16412.0,170.0,14490.0,130.0,13609.0
146-893A,34.28,-120.03,17099.0,291.0,15040.0,230.0,14114.0
146-893A,34.28,-120.03,17725.0,172.0,15550.0,140.0,14467.0
146-893A,34.28,-120.03,18917.0,212.0,16630.0,190.0,15677.0
146-893A,34.28,-120.03,19607.0,176.0,17220.0,140.0,16324.000000000002
146-893A,34.28,-120.03,28647.0,270.0,25530.0,260.0,24346.0
DAPC2,58.97,-9.61,3672.0,200.0,3740.0,55.0,3395.0
DAPC2,58.97,-9.61,9238.0,200.0,8590.0,90.0,8224.8
DAPC2,58.97,-9.61,11833.170989999999,200.0,10830.0,90.0,10199.0
DAPC2,58.97,-9.61,12760.90992,200.0,11380.0,110.0,10876.0
DAPC2,58.97,-9.61,15379.19292,200.0,13410.0,130.0,12896.0
DAPC2,58.97,-9.61,16004.950149999999,200.0,14400.0,110.0,13313.0
DAPC2,58.97,-9.61,16148.09016,200.0,14900.0,110.0,13403.0
DAPC2,58.97,-9.61,16410.39673,200.0,15330.0,100.0,13608.0
DAPC2,58.97,-9.61,16562.53209,200.0,15390.0,130.0,13696.0
DAPC2,58.97,-9.61,16996.02111,200.0,15400.0,170.0,13943.0
DAPC2,58.97,-9.61,17155.162350000002,200.0,15560.0,140.0,14158.0
DAPC2,58.97,-9.61,18037.76161,200.0,16430.0,130.0,14699.0
DAPC2,58.97,-9.61,19532.75967,200.0,17310.0,130.0,16184.000000000002
DAPC2,58.97,-9.61,20177.08224,200.0,17870.0,130.0,16682.0
DAPC2,58.97,-9.61,22424.33543,200.0,19730.0,140.0,18535.0
DAPC2,58.97,-9.61,22974.254210000003,200.0,20280.0,150.0,19043.0
DAPC2,58.97,-9.61,23320.09804,200.0,20450.0,170.0,19396.0
DAPC2,58.97,-9.61,23929.500010000003,200.0,21410.0,200.0,19988.0
DAPC2,58.97,-9.61,25015.09809,200.0,21860.0,190.0,20720.0
DAPC2,58.97,-9.61,25646.698529999998,200.0,23660.0,210.0,21214.0
DAPC2,58.97,-9.61,26270.513489999998,200.0,23950.0,220.0,21981.0
MV99-GC38,23.22,-111.08,11460.0,25.0,11450.0,35.0,10008.0
MV99-GC38,23.22,-111.08,11550.0,25.0,11340.0,35.0,10032.0
MV99-GC38,23.22,-111.08,11700.0,30.0,11910.0,35.0,10086.0
MV99-GC38,23.22,-111.08,12570.0,326.0,11875.0,30.0,10472.0
MV99-GC38,23.22,-111.08,13620.0,175.0,13030.0,30.0,11845.0
MV99-GC38,23.22,-111.08,13910.0,95.0,13090.0,30.0,12062.0
MV99-GC38,23.22,-111.08,14380.0,75.0,13715.0,40.0,12397.0
MV99-GC38,23.22,-111.08,14490.0,116.5,13895.0,30.0,12417.0
MV99-GC38,23.22,-111.08,14580.0,105.0,13755.0,30.0,12458.0
MV99-GC38,23.22,-111.08,14700.0,50.0,13845.0,30.0,12445.0
MV99-GC38,23.22,-111.08,15550.0,365.0,14630.0,40.0,12969.0
MV99-GC38,23.22,-111.08,16640.0,350.0,15090.0,40.0,13755.0
MV99-GC38,23.22,-111.08,17100.0,205.0,15300.0,30.0,14116.0
MV99-GC38,23.22,-111.08,18190.0,310.0,15735.0,40.0,14812.0
MV99-GC38,23.22,-111.08,18940.0,280.0,16210.0,40.0,15706.0
MV99-GC38,23.22,-111.08,19940.0,316.0,17415.0,40.0,16534.0
MV99-GC38,23.22,-111.08,20760.0,265.0,18270.0,50.0,17155.0
MV99-GC38,23.22,-111.08,22250.0,375.0,19440.0,50.0,18281.0
MV99-GC38,23.22,-111.08,24550.0,515.0,21210.0,60.0,20397.0
MV99-GC38,23.22,-111.08,31150.0,225.5,26360.0,190.0,27094.0
MV99-MC17/GC32/PC10,23.61,-111.56,12430.0,210.0,12825.0,45.0,10363.0
MV99-MC17/GC32/PC10,23.61,-111.56,13200.0,385.0,13035.0,50.0,11356.0
MV99-MC17/GC32/PC10,23.61,-111.56,13440.0,115.0,12820.0,50.0,11547.0
MV99-MC17/GC32/PC10,23.61,-111.56,13630.0,85.0,13045.0,35.0,11826.0
MV99-MC17/GC32/PC10,23.61,-111.56,13810.0,70.0,13055.0,35.0,12013.0
MV99-MC17/GC32/PC10,23.61,-111.56,13940.0,109.5,13425.0,45.0,12020.0
MV99-MC17/GC32/PC10,23.61,-111.56,14100.0,50.0,13335.0,50.0,12228.0
MV99-MC17/GC32/PC10,23.61,-111.56,14260.0,55.0,13380.0,60.0,12325.0
MV99-MC17/GC32/PC10,23.61,-111.56,14430.0,130.5,13285.0,35.0,12398.0
MV99-MC17/GC32/PC10,23.61,-111.56,14600.0,166.5,13155.0,35.0,12466.0
MV99-MC17/GC32/PC10,23.61,-111.56,14860.0,149.0,14330.0,40.0,12494.0
MV99-MC17/GC32/PC10,23.61,-111.56,16430.0,1061.0,13625.0,40.0,13618.0
MV99-MC17/GC32/PC10,23.61,-111.56,17230.0,1569.0,16530.0,70.0,14149.0
MV99-MC17/GC32/PC10,23.61,-111.56,17920.0,1746.0,17200.0,70.0,14635.0
MV99-MC17/GC32/PC10,23.61,-111.56,18710.0,1240.0,15160.0,60.0,15369.0
MV99-MC17/GC32/PC10,23.61,-111.56,19480.0,745.0,16720.0,70.0,16111.0
MV99-MC17/GC32/PC10,23.61,-111.56,20250.0,298.0,17440.0,60.0,16736.0
MV99-MC17/GC32/PC10,23.61,-111.56,22300.0,800.0,19580.0,80.0,18332.0
MV99-MC17/GC32/PC10,23.61,-111.56,25680.0,1533.0,22940.0,190.0,21265.0
MV99-MC17/GC32/PC10,23.61,-111.56,11950.0,115.0,12230.0,45.0,10281.0
W8709A-13,42.12,-125.75,8157.999999999999,110.0,8200.0,40.0,7290.0
W8709A-13,42.12,-125.75,8680.0,103.0,8680.0,60.0,7903.0
W8709A-13,42.12,-125.75,9016.5,100.0,8895.0,40.0,8114.900000000001
