id,UncalibratedMinRange_at_95.0%,UncalibratedMaxRange_at_95.0%,Mode,MidRange,Median
KNR195-5-CDH23,3720.0,4141.0,4086.0,3930.0,4072.0
KNR195-5-CDH23,3717.0,4142.0,4086.0,3930.0,4072.0
KNR195-5-CDH23,4915.0,5249.0,5172.0,5082.0,5166.0
KNR195-5-CDH23,5288.0,5758.0,5679.0,5523.0,5682.0
KNR195-5-CDH23,5599.0,6032.0,5949.0,5816.0,5960.0
KNR195-5-CDH23,7801.0,8226.0,8166.0,8014.0,8151.0
KNR195-5-CDH23,8087.0,8891.0,8793.0,8489.0,8788.0
KNR195-5-CDH23,9080.0,9613.0,9572.0,9346.0,9509.0
KNR195-5-CDH23,9890.0,10342.0,10295.0,10116.0,10265.0
KNR195-5-CDH23,10505.0,11097.0,11050.0,10801.0,11045.0
KNR195-5-CDH23,10506.0,11098.0,11050.0,10802.0,11045.0
KNR195-5-CDH23,10935.0,11555.0,11504.0,11245.0,11457.0
KNR195-5-CDH23,10969.0,11849.0,11718.0,11409.0,11694.0
KNR195-5-CDH23,11398.0,12479.0,12402.0,11938.0,12386.0
KNR195-5-CDH26,6152.0,6543.0,6451.0,6348.0,6447.0
KNR195-5-CDH26,8695.0,9054.0,8907.0,8874.0,8919.0
KNR195-5-CDH26,9891.0,10341.0,10295.0,10116.0,10263.0
KNR195-5-CDH26,10573.0,11091.0,11049.0,10832.0,11046.0
KNR195-5-CDH26,11375.0,11974.0,11831.0,11674.0,11832.0
KNR195-5-CDH26,12072.0,12645.0,12514.0,12358.0,12519.0
KNR195-5-CDH26,12735.0,13389.0,13269.0,13062.0,13277.0
KNR195-5-CDH26,13754.0,14515.0,14449.0,14134.0,14436.0
KNR195-5-CDH26,15765.0,16444.0,16363.0,16104.0,16351.0
KNR195-5-CDH26,16352.0,17113.0,16877.0,16732.0,16920.0
KNR195-5-CDH26,17365.0,18193.0,17949.0,17779.0,17972.0
KNR195-5-CDH26,19071.0,20282.0,20048.0,19676.0,20063.0
KNR195-5-CDH41,8594.0,9315.0,9208.0,8954.0,9196.0
KNR195-5-CDH41,9403.0,10135.0,10030.0,9769.0,10038.0
KNR195-5-CDH41,10517.0,11823.0,11525.0,11170.0,11548.0
KNR195-5-CDH41,11549.0,12185.0,12033.0,11867.0,12040.0
KNR195-5-CDH41,11687.0,12428.0,12315.0,12058.0,12335.0
KNR195-5-CDH41,11296.0,12847.0,12478.0,12072.0,12505.0
KNR195-5-CDH41,12596.0,13241.0,13102.0,12918.0,13112.0
KNR195-5-CDH41,12719.0,13351.0,13250.0,13035.0,13247.0
KNR195-5-CDH41,12906.0,13436.0,13363.0,13171.0,13353.0
KNR195-5-CDH41,12971.0,13612.0,13473.0,13292.0,13480.0
KNR195-5-CDH41,13194.0,13751.0,13638.0,13472.0,13644.0
KNR195-5-CDH41,13281.0,13889.0,13813.0,13585.0,13802.0
KNR195-5-CDH41,13913.0,15220.0,14711.0,14566.0,14745.0
