id,cal_age,cal_sigma,rad_res,rad_res_sd,mid1,mid2,wmn,med,mode,mid1_resage,mid2_resage,wmn_resage,med_resage,mode_resage
TNO57-21,12201.0,200.0,10900.0,45.0,10372.0,10544.0,10680.0,10364.0,10365.0,545.0,362.0,365.0,536.0,534.0
TNO57-21,12980.0,200.0,12200.0,75.0,10492.0,11202.0,11261.0,11047.0,11049.0,1171.0,995.0,900.0,1146.0,1170.0
TNO57-21,13580.0,200.0,12700.0,55.0,11630.0,11462.0,11772.0,11749.0,11827.0,982.0,1242.0,1388.0,953.0,887.0
TNO57-21,14180.0,200.0,12950.0,55.0,12222.0,12009.0,12378.0,12283.0,12307.0,729.0,966.0,881.0,671.0,631.0
TNO57-21,14770.0,200.0,13150.0,70.0,12500.0,12504.0,12515.0,12468.0,12473.0,658.0,635.0,726.0,677.0,691.0
TNO57-21,15892.0,200.0,14750.0,65.0,13212.0,13228.0,13422.0,13240.0,13244.0,1526.0,1541.0,1424.0,1509.0,1501.0
TNO57-21,16453.0,200.0,14850.0,60.0,13614.0,13652.0,13622.0,13628.0,13626.0,1234.0,1188.0,1262.0,1220.0,1215.0
TNO57-21,17014.0,200.0,15650.0,80.0,14002.0,14057.0,14338.0,13973.0,13855.0,1646.0,1630.0,1505.0,1663.0,1764.0
TNO57-21,17575.0,200.0,16050.0,65.0,14391.0,14505.0,14522.0,14447.0,14459.0,1658.0,1550.0,1545.0,1607.0,1593.0
TNO57-21,18697.0,200.0,16900.0,80.0,15432.0,15420.0,15411.0,15358.0,15210.0,1478.0,1480.0,1476.0,1544.0,1692.0
TNO57-21,19259.0,200.0,17400.0,70.0,16026.0,15810.0,16017.0,15969.0,15983.0,1402.0,1600.0,1585.0,1435.0,1422.0
TNO57-21,19820.0,200.0,18000.0,85.0,16402.0,16326.0,16096.0,16410.0,16367.0,1582.0,1652.0,1818.0,1574.0,1601.0
TNO57-21,22064.0,200.0,19300.0,90.0,18134.0,18327.0,18291.0,18115.0,18193.0,1168.0,956.0,1079.0,1186.0,1175.0
SS152,2103.0,322.0,2523.0,108.0,1592.0,1921.0,2264.0,2131.0,2106.0,406.0,611.0,689.0,387.0,391.0
SS152,2860.0,336.0,3164.0,45.0,2214.0,2647.0,3041.0,2784.0,2489.0,331.0,530.0,358.0,384.0,690.0
SS152,5761.0,275.0,5547.0,35.0,4496.0,5108.0,5266.0,5037.0,5071.0,529.0,437.0,498.0,514.0,494.0
SS152,6468.0,170.0,6190.0,75.0,5378.0,5654.0,5823.0,5692.0,5760.0,540.0,542.0,498.0,499.0,470.0
SS152,7523.0,250.0,7158.0,42.0,6308.0,6692.0,6751.0,6635.0,6595.0,523.0,476.0,279.0,512.0,551.0
SS152,8813.0,213.0,8405.0,45.0,7977.0,7776.0,7668.0,7958.0,7969.0,430.0,617.0,806.0,446.0,448.0
SS152,9278.0,323.0,8715.0,47.0,7966.0,8114.0,8605.0,8281.0,8229.0,-26.0,616.0,485.0,431.0,470.0
SS152,11897.0,326.0,10708.0,87.0,10207.0,10438.0,10540.0,10222.0,10362.0,496.0,292.0,94.0,483.0,395.0
SS152,12462.0,112.0,11081.0,34.0,10463.0,10688.0,10691.0,10424.0,10374.0,622.0,394.0,371.0,647.0,702.0
SS152,12697.0,194.0,11176.0,94.0,10529.0,11019.0,11073.0,10664.0,10910.0,451.0,178.0,13.0,479.0,629.0
SS152,14026.0,345.0,12551.0,60.0,11530.0,11858.0,12300.0,12111.0,12027.0,496.0,726.0,400.0,421.0,210.0
SS152,14917.0,228.0,13119.0,49.0,12588.0,12594.0,12686.0,12526.0,12488.0,534.0,526.0,592.0,583.0,632.0
SS152,15758.0,191.0,13678.0,37.0,13136.0,13093.0,13007.0,13144.0,13214.0,542.0,582.0,616.0,532.0,483.0
SS152,16610.0,209.0,14369.0,76.0,13686.0,13763.0,14074.0,13733.0,13805.0,662.0,632.0,656.0,639.0,617.0
SS152,17165.0,209.0,14812.0,42.0,14067.0,14264.0,14368.0,14133.0,14153.0,676.0,550.0,542.0,681.0,662.0
SS152,18000.0,297.0,15495.0,38.0,14674.0,14960.0,14997.0,14684.0,14695.0,357.0,536.0,533.0,811.0,804.0
SS152,18928.0,385.0,16453.0,199.0,14721.0,15665.0,15416.0,15708.0,15974.0,822.0,788.0,692.0,781.0,641.0
SS172,6091.0,372.0,5823.0,40.0,4484.0,5530.0,5691.0,5316.0,5312.0,374.0,292.0,370.0,503.0,509.0
SS172,7633.0,382.0,7317.0,59.0,6246.0,6769.0,7483.0,6806.0,6928.0,546.0,564.0,516.0,499.0,355.0
SS172,9347.0,369.0,8797.0,33.0,8214.0,8106.0,7935.0,8324.0,8231.0,22.0,686.0,999.0,469.0,562.0
SS172,11474.0,269.0,10438.0,52.0,9626.0,9951.0,10155.0,10019.0,10031.0,522.0,493.0,468.0,424.0,407.0
SS172,12094.0,167.0,10789.0,46.0,10134.0,10408.0,10640.0,10341.0,10359.0,486.0,402.0,263.0,452.0,437.0
SS172,12667.0,200.0,11296.0,74.0,10525.0,11017.0,11163.0,10617.0,10590.0,590.0,300.0,148.0,657.0,758.0
SS172,13643.0,177.0,12271.0,61.0,11381.0,11534.0,11767.0,11809.0,11830.0,491.0,730.0,942.0,470.0,453.0
SS172,14174.0,127.0,12804.0,65.0,12055.0,12074.0,12110.0,12279.0,12302.0,576.0,708.0,892.0,530.0,510.0
SS172,14370.0,139.0,12672.0,48.0,12367.0,12219.0,12282.0,12386.0,12398.0,302.0,456.0,479.0,291.0,279.0
SS172,14986.0,252.0,13110.0,51.0,12636.0,12658.0,12804.0,12580.0,12491.0,478.0,456.0,455.0,527.0,611.0
SS172,15946.0,437.0,14283.0,57.0,13290.0,13404.0,13562.0,13283.0,13386.0,995.0,880.0,956.0,997.0,981.0
SS172,16680.0,548.0,13628.0,59.0,13798.0,14060.0,14540.0,13787.0,13826.0,-192.0,-423.0,-482.0,-155.0,-185.0
SS172,17724.0,542.0,15469.0,66.0,14574.0,14894.0,15387.0,14501.0,14459.0,916.0,594.0,240.0,949.0,1001.0
SS172,18290.0,541.0,15093.0,57.0,14162.0,15251.0,15577.0,15097.0,15219.0,-84.0,-152.0,-173.0,7.0,-100.0
SS172,19139.0,497.0,17263.0,75.0,14716.0,15810.0,16186.0,15906.0,15983.0,1403.0,1464.0,1372.0,1367.0,1288.0
SS172,19658.0,401.0,16890.0,67.0,16292.0,16108.0,15869.0,16340.0,16363.0,596.0,774.0,833.0,559.0,518.0
SS172,20849.0,426.0,19050.0,78.0,17246.0,17295.0,17869.0,17277.0,17552.0,1800.0,1785.0,1450.0,1761.0,1518.0
SS172,21745.0,412.0,18587.0,80.0,17964.0,18162.0,19282.0,17862.0,17814.0,-96.0,474.0,-17.0,710.0,753.0
SS172,24039.0,359.0,21020.0,135.0,19510.0,20054.0,20800.0,20040.0,20024.0,1064.0,997.0,955.0,972.0,958.0
SS172,24466.0,230.0,21088.0,76.0,20328.0,20386.0,20871.0,20376.0,20364.0,744.0,754.0,350.0,708.0,710.0
SS172,26518.0,286.0,23147.0,87.0,22264.0,22398.0,22925.0,22334.0,22413.0,895.0,768.0,721.0,829.0,738.0
SS172,27600.0,290.0,24289.0,87.0,22735.0,23379.0,23046.0,23345.0,23286.0,886.0,892.0,1093.0,924.0,996.0
SS172,28849.0,909.0,23883.0,120.0,22425.0,24706.0,27403.0,24696.0,25273.0,-907.0,-757.0,-1844.0,-816.0,-1394.0
SS172,32962.0,592.0,29376.0,79.0,28734.0,28846.0,30286.0,28599.0,28441.0,642.0,568.0,-274.0,765.0,925.0
SS172,35868.0,295.0,32247.0,91.0,31616.0,31293.0,31143.0,31458.0,31414.0,644.0,945.0,1132.0,780.0,827.0
SS172,37062.0,299.0,33215.0,166.0,32716.0,32296.0,31942.0,32751.0,32871.0,497.0,828.0,1426.0,477.0,422.0
KNR195-5-CDH23,1074.0,46.0,1680.0,40.0,1162.0,1188.0,1400.0,1178.0,1199.0,515.0,518.0,464.0,510.0,500.0
KNR195-5-CDH23,3116.0,47.0,3420.0,35.0,2952.0,2948.0,2913.0,2949.0,2950.0,468.0,467.0,506.0,469.0,471.0
KNR195-5-CDH23,3801.0,46.0,3980.0,35.0,3518.0,3531.0,3543.0,3503.0,3496.0,466.0,449.0,436.0,471.0,480.0
KNR195-5-CDH23,4538.0,56.0,4540.0,40.0,4064.0,4070.0,4086.0,4072.0,4086.0,478.0,482.0,372.0,473.0,462.0
KNR195-5-CDH23,4538.0,57.0,4540.0,40.0,4064.0,4074.0,4047.0,4072.0,4086.0,478.0,476.0,366.0,473.0,461.0
KNR195-5-CDH23,5921.0,28.0,5720.0,30.0,5149.0,5188.0,5176.0,5166.0,5172.0,568.0,542.0,519.0,553.0,532.0
KNR195-5-CDH23,6460.0,39.0,6230.0,35.0,5687.0,5636.0,5655.0,5682.0,5679.0,545.0,601.0,576.0,545.0,547.0
KNR195-5-CDH23,6781.0,52.0,6510.0,45.0,5952.0,5946.0,5911.0,5960.0,5949.0,554.0,555.0,525.0,549.0,545.0
KNR195-5-CDH23,9048.0,56.0,8600.0,45.0,7984.0,8138.0,8192.0,8151.0,8166.0,494.0,486.0,455.0,455.0,437.0
KNR195-5-CDH23,9793.0,98.0,9220.0,60.0,8792.0,8708.0,8623.0,8788.0,8793.0,430.0,501.0,506.0,430.0,431.0
KNR195-5-CDH23,10744.0,74.0,9920.0,40.0,9504.0,9444.0,9439.0,9509.0,9572.0,414.0,471.0,504.0,409.0,391.0
KNR195-5-CDH23,11950.0,70.0,10750.0,45.0,10262.0,10210.0,10108.0,10265.0,10295.0,490.0,520.0,538.0,487.0,481.0
KNR195-5-CDH23,12975.0,57.0,11650.0,55.0,11030.0,11036.0,11254.0,11045.0,11050.0,607.0,628.0,674.0,605.0,605.0
KNR195-5-CDH23,12976.0,57.0,11650.0,55.0,11030.0,11038.0,11304.0,11045.0,11050.0,607.0,627.0,675.0,604.0,605.0
KNR195-5-CDH23,13321.0,60.0,12000.0,55.0,11446.0,11472.0,11624.0,11457.0,11504.0,552.0,556.0,479.0,547.0,532.0
KNR195-5-CDH23,13536.0,82.0,12200.0,70.0,11684.0,11600.0,11665.0,11694.0,11718.0,513.0,571.0,706.0,506.0,498.0
KNR195-5-CDH23,14375.0,171.0,12800.0,95.0,12362.0,12232.0,12417.0,12386.0,12402.0,436.0,584.0,575.0,424.0,415.0
KNR195-5-CDH26,7378.0,31.0,7070.0,35.0,6442.0,6473.0,6496.0,6447.0,6451.0,615.0,602.0,597.0,620.0,624.0
KNR195-5-CDH26,10153.0,44.0,9460.0,40.0,8943.0,9030.0,9052.0,8919.0,8907.0,518.0,444.0,417.0,534.0,551.0
KNR195-5-CDH26,11948.0,69.0,10750.0,45.0,10260.0,10210.0,10160.0,10263.0,10295.0,492.0,521.0,537.0,489.0,484.0
KNR195-5-CDH26,12978.0,48.0,11650.0,45.0,11041.0,11038.0,11057.0,11046.0,11049.0,605.0,604.0,647.0,603.0,603.0
KNR195-5-CDH26,13705.0,58.0,12350.0,50.0,11842.0,11814.0,11777.0,11832.0,11831.0,500.0,520.0,590.0,513.0,519.0
KNR195-5-CDH26,14913.0,84.0,13100.0,60.0,12516.0,12584.0,12630.0,12519.0,12514.0,579.0,538.0,455.0,577.0,578.0
KNR195-5-CDH26,15955.0,80.0,13900.0,60.0,13284.0,13256.0,13217.0,13277.0,13269.0,620.0,638.0,649.0,620.0,623.0
KNR195-5-CDH26,17513.0,90.0,15150.0,65.0,14394.0,14352.0,14406.0,14436.0,14449.0,740.0,806.0,767.0,719.0,708.0
KNR195-5-CDH26,19675.0,85.0,17050.0,70.0,16316.0,16318.0,16342.0,16351.0,16363.0,718.0,751.0,722.0,702.0,693.0
KNR195-5-CDH26,20460.0,82.0,17700.0,70.0,16948.0,16981.0,17100.0,16920.0,16877.0,760.0,748.0,628.0,772.0,794.0
KNR195-5-CDH26,21928.0,123.0,18850.0,110.0,17998.0,18212.0,18415.0,17972.0,17949.0,860.0,686.0,556.0,869.0,882.0
KNR195-5-CDH26,24098.0,96.0,20900.0,80.0,20114.0,19964.0,20052.0,20063.0,20048.0,806.0,942.0,974.0,828.0,844.0
KNR195-5-CDH41,10323.0,118.0,9580.0,50.0,8974.0,9178.0,9187.0,9196.0,9208.0,468.0,394.0,425.0,389.0,370.0
KNR195-5-CDH41,11558.0,129.0,10500.0,45.0,10041.0,9956.0,9971.0,10038.0,10030.0,456.0,548.0,524.0,459.0,461.0
KNR195-5-CDH41,13427.0,130.0,12150.0,100.0,11592.0,11452.0,11515.0,11548.0,11525.0,575.0,681.0,816.0,586.0,605.0
KNR195-5-CDH41,13961.5,68.0,12550.0,45.0,12074.0,12079.0,12161.0,12040.0,12033.0,488.0,478.0,470.0,505.0,514.0
KNR195-5-CDH41,14281.0,101.0,12750.0,55.0,12336.0,12206.0,12306.0,12335.0,12315.0,413.0,540.0,637.0,410.0,408.0
KNR195-5-CDH41,14871.5,264.0,11850.0,65.0,12578.0,12531.0,12666.0,12505.0,12478.0,-730.0,-683.0,-611.0,-668.0,-621.0
KNR195-5-CDH41,15722.0,85.0,13800.0,55.0,13116.0,13099.0,13075.0,13112.0,13102.0,686.0,693.0,704.0,685.0,688.0
KNR195-5-CDH41,15907.0,76.0,14350.0,60.0,13249.0,13219.0,13240.0,13247.0,13250.0,1102.0,1130.0,1160.0,1101.0,1102.0
KNR195-5-CDH41,16060.0,64.0,13950.0,60.0,13346.0,13348.0,13314.0,13353.0,13363.0,600.0,600.0,600.0,597.0,595.0
KNR195-5-CDH41,16257.0,85.0,12700.0,50.0,13491.0,13486.0,13453.0,13480.0,13473.0,-788.0,-793.0,-788.0,-784.0,-776.0
KNR195-5-CDH41,16484.0,74.0,14300.0,70.0,13652.0,13630.0,13559.0,13644.0,13638.0,652.0,658.0,668.0,652.0,655.0
KNR195-5-CDH41,16735.0,94.0,14450.0,60.0,13792.0,13854.0,13910.0,13802.0,13813.0,653.0,598.0,584.0,648.0,645.0
KNR195-5-CDH41,18125.5,144.0,15650.0,80.0,14921.0,14899.0,14654.0,14745.0,14711.0,760.0,730.0,812.0,883.0,933.0
KNR195-5-CDH41,20971.5,158.0,18150.0,90.0,17361.0,17280.0,17247.0,17430.0,17526.0,776.0,838.0,975.0,734.0,670.0
KNR195-5-CDH41,21813.0,129.0,18750.0,100.0,17912.0,18159.0,18360.0,17887.0,17871.0,846.0,664.0,468.0,855.0,867.0
KNR195-5-CDH41,22772.0,142.0,19700.0,140.0,18918.0,18823.0,18762.0,18800.0,18792.0,851.0,852.0,884.0,885.0,903.0
KNR195-5-CDH41,23479.5,124.0,20400.0,120.0,19484.0,19500.0,19781.0,19497.0,19529.0,908.0,941.0,1016.0,905.0,904.0
KNR195-5-CDH41,23851.5,114.0,20600.0,120.0,19750.0,19888.0,20093.0,19889.0,19982.0,820.0,780.0,662.0,737.0,661.0
KNR195-5-CDH41,25178.5,569.0,14200.0,60.0,20053.0,21107.0,21587.0,20921.0,21109.0,-7720.0,-6898.0,-7029.0,-6724.0,-6909.0
KNR195-5-CDH41,26171.0,618.0,17950.0,70.0,21686.0,22030.0,21757.0,21994.0,21978.0,-5297.0,-4090.0,-3700.0,-4051.0,-4029.0
KNR195-5-CDH41,27277.5,562.0,24700.0,210.0,21998.0,23209.0,23262.0,23112.0,23277.0,1561.0,1495.0,1504.0,1653.0,2168.0
KNR195-5-CDH41,27519.0,398.0,24000.0,120.0,23268.0,23188.0,23703.0,23300.0,23285.0,710.0,810.0,1199.0,689.0,715.0
KNR195-5-CDH41,28783.0,475.0,27200.0,190.0,24651.0,24731.0,24738.0,24586.0,24691.0,2554.0,2455.0,2486.0,2642.0,2920.0
KNR195-5-CDH41,29612.0,273.0,26200.0,260.0,24789.0,25705.0,26221.0,25300.0,25284.0,850.0,704.0,57.0,880.0,896.0
