id,Calendar_age,Calendar_age_error,Reservoir_derived_14C_age,Reservoir_derived_14C_error
TT154-10,7013,120,6715,110
V28-238,7542,148,7252.5,160
V28-238,8885,139,8485,100
V28-238,10670,281,9852.5,220
V28-238,13605,559,12165,460
V28-238,21688,450,18700,390
V28-238,23145,283,20000,260
V28-238,25111,1282,21832.5,1290
KNR110-50,16142,375,14045,295
KNR110-50,19433,169,16853,130
KNR110-50,20176,133,17450,115
KNR110-50,21338,262,18405,205
KNR110-50,22278,265,19195,245
KNR110-66,19070,124,16555,105
KNR110-66,19547,145,16945,115
KNR110-66,20933,157,18100,120
KNR110-66,22001,151,18920,135
KNR110-82a,16044,129,13970,100
KNR110-82a,17379,106,15050,75
KNR110-82a,18500,143,16020,145
KNR110-82a,19724,309,17085,255
KNR110-82a,20408,220,17650,190
V28-122,19671,117,17045,100
V28-122,20259,171,17525,145
V28-122,21149.5,470,18245,405
50-37KL,1236,70,2040,70
50-37KL,5972,93,5960,80
50-37KL,8647,138,8500,110
50-37KL,11364,134,10560,100
50-37KL,13950,203,12730,140
50-37KL,17258,188,15140,150
50-37KL,18174,130,15910,110
50-37KL,18280,135,16000,120
50-37KL,19939,192,17460,160
50-37KL,20177,223,17660,180
MD97-2138,21449,203,18636,150
MD97-2138,21830,234,18950,200
MD98-2181,18867,161,16520,150
MD98-2181,19088,165,16725,150
MD98-2181,19445,186,17025,150
RC11-238,19305,142,16750,120
RC11-238,20909,187,18080,150
V19-27,18095,109,15635,110
V19-27,21155,170,18270,130
V21-40,17799,132,15365,100
V21-40,21007.5,317,18140,250
MD01-2386,820,83,1597,88
MD01-2386,4976,111,5043,90
MD01-2386,9940,127,9473,91
MD01-2386,10893,128,10166,91
MD01-2386,12290,105,11120,72
MD01-2386,12830,86,11662,93
MD01-2386,13884,122,12644,94
MD01-2386,14049,188,12761,122
MD01-2386,15196,164,13480,126
MD01-2386,16195,150,14250,117
MD01-2386,16339,130,14362,102
MD01-2386,17135,133,15001,117
MD01-2386,17239,140,15098,114
MD01-2386,18056.5,173,15760,147
MD01-2386,18689,119,16338,105
MD01-2386,19232,132,16849,111
RC24-8GC,3445,37,3770,30
RC24-8GC,10287,63,9655,50
RC24-8GC,12780,32,11535,35
RC24-8GC,13600,60,12325,50
RC24-8GC,15402,68,13550,50
RC24-8GC,15717,67,13790,50
RC24-8GC,16563,96,14440,70
RC24-8GC,19008,116,16570,100
Nesmeyanov25-1-GGC15,4682,52,5190,35
Nesmeyanov25-1-GGC15,10718,86,10450,50
Nesmeyanov25-1-GGC15,16339,89,14750,70
Nesmeyanov25-1-GGC18,11049,77,10650,50
Nesmeyanov25-1-GGC18,14035,98,13150,65
Nesmeyanov25-1-GGC20,11205,47,10800,45
Nesmeyanov25-1-GGC20,14453,117,13400,50
Nesmeyanov25-1-GGC27,10859,95,10530,60
Nesmeyanov25-1-GGC27,13541,65,12760,55
RNDB-GGC15,13589,60,12800,50
RNDB-GGC5,14110,120,13200,75
RNDB-GGC5,21979,132,19450,120
RNDB-PC11,13935,72,13080,60
RNDB-PC11,14019,102,13140,70
RNDB-PC11,16602,114,14950,85
RNDB-PC13,13958,90,13100,70
RNDB-PC13,14918,142,13660,90
RNDB-PC13,17793,79,15900,60
RNDB-PC13,19555,140,17500,110
VINO19-4-GGC17,13661.5,41,12860,35
VINO19-4GGC-37,13691,138,12880,115
VINO19-4GGC-37,13722,118,12910,95
MD97-2106,8800,200,8486,45
MD97-2106,14980.64516,200,13009,60
MD97-2106,18358.62069,200,16079,70
EW0408-87JC,594,74,1650,90
EW0408-87JC,1254,76,2340,70
EW0408-87JC,1702,83,2730,70
EW0408-87JC,2699.5,78,3560,60
EW0408-87JC,3233,87,4000,80
EW0408-87JC,3651,80,4330,60
EW0408-87JC,4499,121,4990,90
EW0408-87JC,5162,89,5500,70
EW0408-87JC,6170,40,6410,25
EW0408-87JC,7773,34,7980,25
EW0408-87JC,8428.5,84,8610,80
EW0408-87JC,8986,144,9020,120
EW0408-87JC,9736,94,9660,70
EW0408-87JC,10151.5,35,9930,30
EW0408-87JC,10546,35,10260,25
EW0408-87JC,10819,84,10410,100
EW0408-87JC,11084,40,10600,35
EW0408-87JC,11350,48,10855,30
EW0408-87JC,11708,40,11065,25
EW0408-87JC,11992,44,11250,25
EW0408-87JC,12436,51,11520,25
EW0408-87JC,13526,43,12705,25
EW0408-87JC,13722,55,12810,60
EW0408-87JC,14019.5,35,13080,30
EW0408-87JC,14191,58,13170,60
EW0408-87JC,14393,70,13310,80
EW0408-87JC,14593,61,13430,45
EW0408-87JC,14747,48,13420,30
EW0408-87JC,15219,49,13830,35
EW0408-87JC,15901,44,14345,30
EW0408-87JC,16276,41,14645,35
EW0408-87JC,16486.5,49,14870,50
EW0408-87JC,16586,44,14890,60
EW0408-87JC,16672,42,15040,80
EW0408-87JC,16747,43,14860,80
EW0408-87JC,16843,37,15080,40
EW0408-87JC,16916,36,15110,60
EW0408-87JC,16999,48,15160,35
202-1240,11760,200,10364,150
202-1240,15000,200,12701,150
202-1240,17600,200,15676,150
202-1240,23500,200,20705,150
202-1240,2730,200,3243,27
202-1240,3756.5,200,4136,27
202-1240,8261.5,200,8046,37
202-1240,9567,200,8937.5,62.241465
202-1240,10445.375,200,9388,63.655322
202-1240,12852,200,11215,55
202-1240,13572,200,11964,55
202-1240,14494.25,200,12492,58
202-1240,16451.5,200,14273,67
202-1240,16973.75,200,14794,77
202-1240,18291,200,16713,91
202-1240,19704.5,200,17546,88
202-1240,22245,200,19492,154
202-1240,24483,200,20705,116
202-1240,26214,200,23310,170
SO161/5_22SL,10056.5,415,9160,380
SO161/5_22SL,11591,98,11050,55
SO161/5_22SL,12492,128,11700,100
SO161/5_22SL,13853,115,13050,100
SO161/5_22SL,14532,114,13450,65
SO161/5_22SL,14967,103,14050,90
SO161/5_22SL,15216.5,86,14200,75
SO161/5_22SL,15710.5,81,14650,65
SO161/5_22SL,15969,81,14800,75
SO161/5_22SL,16360.5,80,15100,75
SO161/5_22SL,16658.5,82,15350,70
SO161/5_22SL,17084,82,15700,80
SO161/5_22SL,17490,88,16000,65
SO161/5_22SL,18159,75,16100,75
SO161/5_22SL,18682,58,16600,70
SO161/5_22SL,18859,55,16850,75
SO161/5_22SL,18974,60,16800,110
SO161/5_22SL,19098,71,16900,85
SO161/5_22SL,19494,82,17300,70
CH84-14,10543,161,10000,140
CH84-14,11050,144,10230,140
CH84-14,11540.5,157,10640,150
CH84-14,12052.5,180,10870,150
CH84-14,13292.5,139,12180,160
CH84-14,13828,163,12820,180
CH84-14,14245,171,12750,150
CH84-14,14732,172,13060,140
CH84-14,15599.5,179,13830,150
CH84-14,17765,226,15570,210
JF-FI-19PC,11080,200,9998,57
JF-FI-19PC,12800,200,12293,62
JF-FI-19PC,13760,200,12676,58
JF-FI-19PC,13940,200,12901,63
JF-FI-19PC,14250,200,12921,100
JF-FI-19PC,14310,200,13174,66
JF-FI-19PC,14560,200,13474,108
JF-FI-19PC,16460,200,14293,56
JF-FI-19PC,16910,200,14561,57
JF-FI-19PC,17590,200,15225,64
JF-FI-19PC,18160,200,15384,60
JF-FI-19PC,18730,200,15878,65
JF-FI-19PC,19300,200,16323,82
JF-FI-19PC,19870,200,17200,77
JF-FI-19PC,20440,200,17904,87
JF-FI-19PC,21010,200,18931,88
JF-FI-19PC,26070,200,23610,143
JF-FI-19PC,26330,200,23484,108
JF-FI-19PC,26740,200,23962,170
145-887,9270,376,9305,25
145-887,12627,237,11810,30
145-887,13296,100,12530,30
