,Event,Site,Latitude,Latitude_2,Longitude,Longitude_2,Cal age,Cal age std e,Age dated,Age std e,Res age,Res age e,Reference,Elevation,Date/Time,group
0,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,0.009,0.078,0.805,0.065,0.682,0.072,"Burke & Robinson, 2012",,,Southern Ocean
1,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,0.066,0.011,0.87,0.07,0.769,0.07,"Burke & Robinson, 2012",,,Southern Ocean
2,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,0.468,0.021,1.38,0.06,1.01,0.066,"Burke & Robinson, 2012",,,Southern Ocean
3,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,1.042,0.046,1.985,0.03,0.86,0.051,"Skinner et al., 2010",-3770,,Southern Ocean
4,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,1.042,0.046,2.475,0.03,1.35,0.051,"Skinner et al., 2010",-3770,,Southern Ocean
5,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,1.458,0.093,2.362,0.035,0.792,0.103,"Skinner et al., 2010",-3770,,Southern Ocean
6,MD97-2121,MD97-2121,-40.4,-40.38,-178,177.99,1.718,0.01,2.331,0.04,0.379,0.049,Skinner et al. 2015,-3014,,Southern Ocean
7,MD07-3088,MD07-3088,-46,-46.0717,-75,-75.6872,1.759,0.171,2.51,0.03,0.677,0.148,Siani et al. 2013,-1536,2007/1/1,Southern Ocean
8,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,1.991,0.116,2.945,0.037,0.869,0.107,"Skinner et al., 2010",-3770,,Southern Ocean
9,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,2.986,0.162,3.725,0.037,0.823,0.121,"Skinner et al., 2010",-3770,,Southern Ocean
10,MD07-3088,MD07-3088,-46,-46.0717,-75,-75.6872,4.098,0.182,4.475,0.03,0.767,0.13,Siani et al. 2013,-1536,2007/1/1,Southern Ocean
11,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,4.329,0.162,4.905,0.035,1.028,0.12,"Skinner et al., 2010",-3770,,Southern Ocean
12,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,4.643,0.169,4.85,0.075,0.725,0.154,"Burke & Robinson, 2012",,,Southern Ocean
13,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,5.37,0.139,5.687,0.037,0.999,0.115,"Skinner et al., 2010",-3770,,Southern Ocean
14,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,5.883,0.053,5.99,0.09,0.901,0.112,"Burke & Robinson, 2012",,,Southern Ocean
15,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,6.319,0.093,6.506,0.037,0.929,0.111,"Skinner et al., 2010",-3770,,Southern Ocean
16,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,6.47,0.048,6.43,0.095,0.736,0.106,"Burke & Robinson, 2012",,,Southern Ocean
17,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,6.806,0.185,6.732,0.036,0.73,0.146,"Skinner et al., 2010",-3770,,Southern Ocean
18,MD97-2121,MD97-2121,-40.4,-40.38,-178,177.99,7.027,0.17,6.884,0.03,0.735,0.189,Skinner et al. 2015,-3014,,Southern Ocean
19,RR0503-83GC,RR0503 TC 83,-36.74,-37.74,-176.64,176.64,8.009,0.069,7.54,0.025,0.261,0.085,"Sikes et al., 2016",-1627,,Southern Ocean
20,RR0503-83GC,RR0503 TC 83,-36.74,-37.74,-176.64,176.64,8.009,0.069,7.75,0.03,0.474,0.087,"Sikes et al., 2016",-1627,,Southern Ocean
21,RR0503-83GC,RR0503 TC 83,-36.74,-37.74,-176.64,176.64,8.009,0.069,8.2,0.03,0.924,0.087,"Sikes et al., 2016",-1627,,Southern Ocean
22,RR0503-83GC,RR0503 TC 83,-36.74,-37.74,-176.64,176.64,8.009,0.069,8.35,0.025,1.071,0.085,"Sikes et al., 2016",-1627,,Southern Ocean
23,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,8.079,0.162,8.39,0.04,1.105,0.165,"Skinner et al., 2010",-3770,,Southern Ocean
24,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,9.074,0.116,9.52,0.04,1.336,0.099,"Skinner et al., 2010",-3770,,Southern Ocean
25,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,9.074,0.116,9.51,0.05,1.324,0.105,"Skinner et al., 2010",-3770,,Southern Ocean
26,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,9.074,0.116,9.07,0.05,0.884,0.105,"Skinner et al., 2010",-3770,,Southern Ocean
27,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,9.769,0.116,9.56,0.04,0.775,0.08,"Skinner et al., 2010",-3770,,Southern Ocean
28,MD97-2121,MD97-2121,-40.4,-40.38,-178,177.99,9.906,0.246,8.812,0.036,0.282,0.019,Skinner et al. 2015,-3014,,Southern Ocean
29,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,10.347,0.069,9.79,0.05,0.582,0.076,"Skinner et al., 2010",-3770,,Southern Ocean
30,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,10.347,0.069,10.06,0.05,0.852,0.076,"Skinner et al., 2010",-3770,,Southern Ocean
31,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,10.694,0.069,10.3,0.045,0.864,0.078,"Skinner et al., 2010",-3770,,Southern Ocean
32,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,11.134,0.069,10.47,0.05,0.815,0.105,"Skinner et al., 2010",-3770,,Southern Ocean
33,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,11.134,0.069,10.57,0.06,0.916,0.11,"Skinner et al., 2010",-3770,,Southern Ocean
34,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,11.134,0.069,10.67,0.05,1.015,0.105,"Skinner et al., 2010",-3770,,Southern Ocean
35,MD97-2121,MD97-2121,-40.4,-40.38,-178,177.99,11.195,0.051,10.552,0.038,0.712,0.036,Skinner et al. 2015,-3014,,Southern Ocean
36,MD07-3088,MD07-3088,-46,-46.0717,-75,-75.6872,11.252,0.347,10.88,0.035,0.859,0.214,Siani et al. 2013,-1536,2007/1/1,Southern Ocean
37,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,11.389,0.093,10.6,0.05,0.604,0.083,"Skinner et al., 2010",-3770,,Southern Ocean
38,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,11.389,0.093,10.73,0.05,0.734,0.083,"Skinner et al., 2010",-3770,,Southern Ocean
39,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,11.644,0.116,10.79,0.05,0.728,0.072,"Skinner et al., 2010",-3770,,Southern Ocean
40,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,11.644,0.116,10.82,0.05,0.758,0.072,"Skinner et al., 2010",-3770,,Southern Ocean
41,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,11.777,0.135,10.7,0.14,0.569,0.154,"Burke & Robinson, 2012",,,Southern Ocean
42,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,12.201,0.2,10.9,0.045,0.515,0.207,"Barker et al., 2014",-4981,,Southern Ocean
43,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,12.222,0.139,11.4,0.05,1.017,0.094,"Skinner et al., 2010",-3770,,Southern Ocean
44,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,12.894,0.069,11.835,0.05,0.795,0.071,"Skinner et al., 2010",-3770,,Southern Ocean
45,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,12.98,0.2,12.2,0.075,1.152,0.407,"Barker et al., 2014",-4981,,Southern Ocean
46,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,13.241,0.093,12.76,0.06,1.382,0.117,"Skinner et al., 2010",-3770,,Southern Ocean
47,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,13.397,0.076,12.75,0.18,1.193,0.198,"Burke & Robinson, 2012",,,Southern Ocean
48,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,13.58,0.2,12.7,0.055,0.875,0.311,"Barker et al., 2014",-4981,,Southern Ocean
49,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,13.707,0.068,13.15,0.18,1.278,0.193,"Burke & Robinson, 2012",,,Southern Ocean
50,MD07-3088,MD07-3088,-46,-46.0717,-75,-75.6872,13.812,0.233,12.885,0.04,0.838,0.2,Siani et al. 2013,-1536,2007/1/1,Southern Ocean
51,RR0503-64JPC,RR0503 JPC 64,-37.42,-37.422,-177,177.002,13.998,0.11,12.72,0.045,0.643,0.105,"Sikes et al., 2016",-651,,Southern Ocean
52,RR0503-79JPC,RR0503 JPC 79,-36.96,-36.9587,-176.59,176.5928,13.998,0.11,12.81,0.035,0.741,0.1,"Sikes et al., 2016",-1165,,Southern Ocean
53,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,14.097,0.093,13.36,0.06,1.161,0.11,"Skinner et al., 2010",-3770,,Southern Ocean
54,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,14.18,0.2,12.95,0.055,0.547,0.256,"Barker et al., 2014",-4981,,Southern Ocean
55,MD97-2121,MD97-2121,-40.4,-40.38,-178,177.99,14.324,0.254,12.839,0.045,0.641,0.385,Skinner et al. 2015,-3014,,Southern Ocean
56,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,14.491,0.069,13.3,0.06,0.88,0.071,"Skinner et al., 2010",-3770,,Southern Ocean
57,MD07-3088,MD07-3088,-46,-46.0717,-75,-75.6872,14.491,0.464,13.755,0.035,1.329,0.258,Siani et al. 2013,-1536,2007/1/1,Southern Ocean
58,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,14.653,0.069,13.43,0.06,0.977,0.074,"Skinner et al., 2010",-3770,,Southern Ocean
59,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,14.77,0.2,13.15,0.07,0.68,0.233,"Barker et al., 2014",-4981,,Southern Ocean
60,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,14.792,0.069,13.52,0.11,1.007,0.119,"Skinner et al., 2010",-3770,,Southern Ocean
61,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,15.139,0.162,13.44,0.06,0.793,0.138,"Skinner et al., 2010",-3770,,Southern Ocean
62,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,15.139,0.162,13.38,0.06,0.733,0.138,"Skinner et al., 2010",-3770,,Southern Ocean
63,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,15.139,0.162,13.38,0.07,0.72,0.143,"Skinner et al., 2010",-3770,,Southern Ocean
64,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,15.139,0.162,13.45,0.06,0.803,0.138,"Skinner et al., 2010",-3770,,Southern Ocean
65,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,15.139,0.162,13.26,0.06,0.613,0.138,"Skinner et al., 2010",-3770,,Southern Ocean
66,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,15.892,0.2,14.75,0.065,1.521,0.289,"Barker et al., 2014",-4981,,Southern Ocean
67,DrakePCoral,Drake P Coral,-57.75,-57.75,-64,-64,16.402,0.31,14.2,0.18,0.561,0.282,"Burke & Robinson, 2012",,,Southern Ocean
68,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,16.453,0.2,14.85,0.06,1.154,0.286,"Barker et al., 2014",-4981,,Southern Ocean
69,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,16.574,0.324,15.36,0.07,1.597,0.237,"Skinner et al., 2010",-3770,,Southern Ocean
70,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,16.574,0.324,15.36,0.06,1.592,0.235,"Skinner et al., 2010",-3770,,Southern Ocean
71,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,16.574,0.324,15.56,0.08,1.801,0.24,"Skinner et al., 2010",-3770,,Southern Ocean
72,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,17.014,0.2,15.65,0.08,1.689,0.295,"Barker et al., 2014",-4981,,Southern Ocean
73,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,17.106,0.324,15.65,0.18,1.581,0.291,"Skinner et al., 2010",-3770,,Southern Ocean
74,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,17.569,0.347,16.51,0.21,2.104,0.35,"Skinner et al., 2010",-3770,,Southern Ocean
75,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,17.575,0.2,16.05,0.065,1.535,0.323,"Barker et al., 2014",-4981,,Southern Ocean
76,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,17.801,0.347,16.698,0.05,2.141,0.291,"Skinner et al., 2010",-3770,,Southern Ocean
77,MD97-2121,MD97-2121,-40.4,-40.38,-178,177.99,17.845,0.38,15.986,0.056,1.286,0.194,Skinner et al. 2015,-3014,,Southern Ocean
78,RR0503-83GC,RR0503 TC 83,-36.74,-37.74,-176.64,176.64,17.906,0.147,15.835,0.04,1.212,0.147,"Sikes et al., 2016",-1627,,Southern Ocean
79,RR0503-83GC,RR0503 TC 83,-36.74,-37.74,-176.64,176.64,17.906,0.147,15.965,0.04,1.342,0.147,"Sikes et al., 2016",-1627,,Southern Ocean
80,RR0503-83GC,RR0503 TC 83,-36.74,-37.74,-176.64,176.64,17.906,0.147,15.58,0.045,0.954,0.148,"Sikes et al., 2016",-1627,,Southern Ocean
81,RR0503-83GC,RR0503 TC 83,-36.74,-37.74,-176.64,176.64,17.906,0.147,15.515,0.04,0.892,0.147,"Sikes et al., 2016",-1627,,Southern Ocean
82,RR0503-64JPC,RR0503 JPC 64,-37.42,-37.422,-177,177.002,17.906,0.147,15.02,0.06,0.38,0.154,"Sikes et al., 2016",-651,,Southern Ocean
83,RR0503-64JPC,RR0503 JPC 64,-37.42,-37.422,-177,177.002,17.906,0.147,15.245,0.04,0.622,0.147,"Sikes et al., 2016",-651,,Southern Ocean
84,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,18.009,0.324,17.03,0.2,2.185,0.345,"Skinner et al., 2010",-3770,,Southern Ocean
85,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,18.38,0.278,17.4,0.12,2.294,0.291,"Skinner et al., 2010",-3770,,Southern Ocean
86,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,18.697,0.2,16.9,0.08,1.654,0.365,"Barker et al., 2014",-4981,,Southern Ocean
87,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,19.028,0.231,18.22,0.1,2.378,0.236,"Skinner et al., 2010",-3770,,Southern Ocean
88,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,19.259,0.2,17.4,0.07,1.41,0.363,"Barker et al., 2014",-4981,,Southern Ocean
89,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,19.398,0.255,18.07,0.13,2.029,0.246,"Skinner et al., 2010",-3770,,Southern Ocean
90,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,19.82,0.2,18,0.085,1.592,0.336,"Barker et al., 2014",-4981,,Southern Ocean
91,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,20.509,0.44,19.06,0.13,2.093,0.374,"Skinner et al., 2010",-3770,,Southern Ocean
92,TNO57-21,TNO57-21,-41.1,-41.1,7.8,7.8,22.064,0.2,19.3,0.09,1.049,0.363,"Barker et al., 2014",-4981,,Southern Ocean
93,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,22.87,0.532,20.58,0.13,1.627,0.485,"Skinner et al., 2010",-3770,,Southern Ocean
94,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,24.722,0.463,21.73,0.1,1.137,0.393,"Skinner et al., 2010",-3770,,Southern Ocean
95,MD97-2121,MD97-2121,-40.4,-40.38,-178,177.99,25.358,0.162,22.322,0.085,1.037,0.152,Skinner et al. 2015,-3014,,Southern Ocean
96,RR0503-79JPC,RR0503 JPC 79,-36.96,-36.9587,-176.59,176.5928,25.65,0.04,22.14,0.06,0.847,0.106,"Sikes et al., 2016",-1165,,Southern Ocean
97,BP_S794,S794,-36.31,-36.3098,-176.64,176.6398,25.65,0.04,22.02,0.08,0.727,0.118,"Sikes et al., 2016",-2406,,Southern Ocean
98,HT_S938,S938,-45.08,-40.0327,-179.5,179.996,25.65,0.04,21.64,0.08,0.347,0.118,"Sikes et al., 2016",-3003,,Southern Ocean
99,S931,S931,-39.46,-39.5,-176.42,-176.4,25.65,0.04,22.2,0.08,0.907,0.118,"Sikes et al., 2016",-4096,,Southern Ocean
100,RR0503-36JPC,RR0503 JPC 36,-39.94,-39.9412,-176.22,176.2238,25.65,0.04,21.77,0.07,0.477,0.111,"Sikes et al., 2016",,,Southern Ocean
101,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,26.227,0.486,22.44,0.16,0.268,0.501,"Skinner et al., 2010",-3770,,Southern Ocean
102,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,27.384,0.486,23.39,0.11,0.791,0.541,"Skinner et al., 2010",-3770,,Southern Ocean
103,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,28.472,0.394,24.52,0.2,0.193,0.449,"Skinner et al., 2010",-3770,,Southern Ocean
104,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,29.931,0.347,25.97,0.13,0.175,0.303,"Skinner et al., 2010",-3770,,Southern Ocean
105,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,30.81,0.486,26.55,0.25,0.369,0.682,"Skinner et al., 2010",-3770,,Southern Ocean
106,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,32.106,0.625,28.54,0.089,0.222,0.579,"Skinner et al., 2010",-3770,,Southern Ocean
107,MD07-3076,MD7-3076,-44.1,-44.1533,-14.2,-14.2282,32.639,0.625,28.827,0.091,0.435,0.523,"Skinner et al., 2010",-3770,,Southern Ocean
0,MD04-2829CQ,MD04-2829,58.9,58.9488,-9.6,-9.5717,1.3,0.2,1.79,0.15,0.416,0.248,this study,-1007,,Northeast Atlantic
1,DAPC2,DAPC2,58.97,59,-9.61,-9.6,3.672,0.2,3.74,0.055,0.273,0.174,"Knutz et al., 2007",-1709,,Northeast Atlantic
2,94-609,DSDP609,49.88,49.8778,-24.23,-24.2382,5.516,0.151,5.42,0.08,0.693,0.167,"Waelbroeck et al., 2019",-3884,1983/1/1,Northeast Atlantic
3,DAPC2,DAPC2,58.97,59,-9.61,-9.6,9.238,0.2,8.59,0.09,0.34,0.207,"Knutz et al., 2007",-1709,,Northeast Atlantic
4,RAPiD-15-4P,4P-SUERC426-427,62.29,62.293,-17.13,-17.134,10.297,0.1,9.739,0.038,0.345,0.112,"Thornalley et al., 2010",-2133,,Northeast Atlantic
5,RAPiD-17-5P,5P-SUERC862-863,61.48,61.466,-19.54,-19.533,10.297,0.1,9.728,0.039,0.526,0.113,"Thornalley et al., 2010",-2303,,Northeast Atlantic
6,RAPID-12-1K,1K-SUERC480-481,62.09,62.09,-17.82,-17.82,10.447,0.101,9.752,0.035,0.513,0.08,"Thornalley et al., 2010",-1938,,Northeast Atlantic
7,RAPiD-10-1P,1P-SUERC40-41,62.98,62.9755,-17.59,-17.5895,10.51,0.25,9.587,0.038,0.357,0.142,"Thornalley et al., 2010",-1237,,Northeast Atlantic
8,RAPiD-15-4P,4P-SUERC432-433,62.29,62.293,-17.13,-17.134,10.714,0.15,10.198,0.04,0.738,0.109,"Thornalley et al., 2010",-2133,,Northeast Atlantic
9,RAPiD-17-5P,5P-SUERC884-885,61.48,61.466,-19.54,-19.533,10.727,0.15,9.862,0.039,0.291,0.107,"Thornalley et al., 2010",-2303,,Northeast Atlantic
10,MD04-2829CQ,MD04-2829,58.9,58.9488,-9.6,-9.5717,10.9,0.2,9.794,0.15,0.224,0.2,this study,-1007,,Northeast Atlantic
11,RAPID-12-1K,1K-SUERC584-586,62.09,62.09,-17.82,-17.82,11.235,0.2,10.356,0.035,0.363,0.143,"Thornalley et al., 2010",-1938,,Northeast Atlantic
12,RAPiD-15-4P,4P-SUERC442-443,62.29,62.293,-17.13,-17.134,11.41,0.15,10.358,0.042,0.778,0.121,"Thornalley et al., 2010",-2133,,Northeast Atlantic
13,RAPiD-17-5P,5P-SUERC922-923,61.48,61.466,-19.54,-19.533,11.501,0.15,10.516,0.039,0.488,0.09,"Thornalley et al., 2010",-2303,,Northeast Atlantic
14,RAPiD-10-1P,1P-SUERC51-52,62.98,62.9755,-17.59,-17.5895,11.55,0.2,10.568,0.04,0.533,0.12,"Thornalley et al., 2010",-1237,,Northeast Atlantic
15,MD04-2829CQ,MD04-2829,58.9,58.9488,-9.6,-9.5717,11.62,0.2,10.965,0.15,0.898,0.179,this study,-1007,,Northeast Atlantic
16,RAPID-12-1K,1K-SUERC636-638,62.09,62.09,-17.82,-17.82,11.63,0.2,10.577,0.036,0.532,0.105,"Thornalley et al., 2010",-1938,,Northeast Atlantic
17,RAPiD-15-4P,4P-SUERC452-453,62.29,62.293,-17.13,-17.134,11.653,0.15,10.796,0.039,1.425,0.076,"Thornalley et al., 2010",-2133,,Northeast Atlantic
18,RAPiD-17-5P,5P-SUERC928-929,61.48,61.466,-19.54,-19.533,11.683,0.101,10.783,0.039,0.704,0.064,"Thornalley et al., 2010",-2303,,Northeast Atlantic
19,MD95-2007,MD95-2007,57.5,57.5177,-8.4,-8.3862,11.775,0.068,10.664,0.065,0.529,0.078,"Austin et al., 2011",-158,1995/1/1,Northeast Atlantic
20,DAPC2,DAPC2,58.97,59,-9.61,-9.6,11.833,0.2,10.83,0.09,0.683,0.136,"Knutz et al., 2007",-1709,,Northeast Atlantic
21,RAPiD-15-4P,4P-SUERC458-459,62.29,62.293,-17.13,-17.134,11.934,0.101,10.965,0.04,1.251,0.077,"Thornalley et al., 2010",-2133,,Northeast Atlantic
22,RAPiD-10-1P,1P-SUERC98-99,62.98,62.9755,-17.59,-17.5895,12.12,0.052,11.566,0.04,1.215,0.064,"Thornalley et al., 2010",-1237,,Northeast Atlantic
23,RAPiD-15-4P,4P-SUERC463-464,62.29,62.293,-17.13,-17.134,12.208,0.151,11.808,0.041,1.251,0.097,"Thornalley et al., 2010",-2133,,Northeast Atlantic
24,RAPiD-17-5P,5P-SUERC954-955,61.48,61.466,-19.54,-19.533,12.317,0.3,11.897,0.042,1.509,0.175,"Thornalley et al., 2010",-2303,,Northeast Atlantic
25,MD95-2002,MD95-2002,47.45,47.452,-8.53,-8.5338,12.318,0.223,11.19,0.1,0.786,0.196,"Waelbroeck et al., 2019",-2174,1995/1/1,Northeast Atlantic
26,NA87-22,NA87-22,55.5,55.5,-14.7,-14.5833,12.327,0.586,11.32,0.09,0.93,0.484,"Waelbroeck et al., 2019",-2161,,Northeast Atlantic
27,RAPiD-10-1P,1P-SUERC112-113,62.98,62.9755,-17.59,-17.5895,12.34,0.101,12.256,0.04,1.862,0.069,"Thornalley et al., 2010",-1237,,Northeast Atlantic
28,MD03-2697,MD03-2697,42.16,42.15,-9.7,-9.7,12.377,0.531,11.92,0.06,1.528,0.418,"Waelbroeck et al., 2019",-2164,,Northeast Atlantic
29,RAPiD-15-4P,4P-OS75478465-466,62.29,62.293,-17.13,-17.134,12.382,0.2,11.65,0.05,0.886,0.151,"Thornalley et al., 2010",-2133,,Northeast Atlantic
30,MD01-2461,MD01-2461,51.75,51.7483,-12.92,-12.915,12.396,0.117,11.032,0.039,0.632,0.085,"Waelbroeck et al., 2019",-1153,2001/1/1,Northeast Atlantic
31,MD95-2007,MD95-2007,57.5,57.5177,-8.4,-8.3862,12.43,0.106,11.353,0.062,0.885,0.099,"Austin et al., 2011",-158,1995/1/1,Northeast Atlantic
32,RAPiD-10-1P,1P-SUERC120-121,62.98,62.9755,-17.59,-17.5895,12.47,0.101,12.379,0.042,1.881,0.092,"Thornalley et al., 2010",-1237,,Northeast Atlantic
33,MD95-2007,MD95-2007,57.5,57.5177,-8.4,-8.3862,12.482,0.104,11.299,0.066,0.793,0.111,"Austin et al., 2011",-158,1995/1/1,Northeast Atlantic
34,MD95-2007,MD95-2007,57.5,57.5177,-8.4,-8.3862,12.552,0.104,11.5,0.09,0.933,0.156,"Austin et al., 2011",-158,1995/1/1,Northeast Atlantic
35,RAPiD-15-4P,4P-OS-75502467-468,62.29,62.293,-17.13,-17.134,12.556,0.2,11.75,0.05,0.988,0.127,"Thornalley et al., 2010",-2133,,Northeast Atlantic
36,MD01-2461,MD02-2461,51.75,51.7483,-12.92,-12.915,12.59,0.2,11.032,0.039,0.426,0.114,"Peck et al., 2006",-1153,2001/1/1,Northeast Atlantic
37,MD95-2007,MD95-2007,57.5,57.5177,-8.4,-8.3862,12.596,0.098,11.296,0.077,0.686,0.158,"Austin et al., 2011",-158,1995/1/1,Northeast Atlantic
38,RAPiD-10-1P,1P-SUERC128-129,62.98,62.9755,-17.59,-17.5895,12.6,0.101,12.583,0.041,1.963,0.04,"Thornalley et al., 2010",-1237,,Northeast Atlantic
39,RAPiD-15-4P,4P-OS-75503469-470,62.29,62.293,-17.13,-17.134,12.73,0.151,11.9,0.045,0.783,0.176,"Thornalley et al., 2010",-2133,,Northeast Atlantic
40,94-609,DSDP609,49.88,49.8778,-24.23,-24.2382,12.736,0.465,12.38,0.12,1.919,0.441,"Waelbroeck et al., 2019",-3884,1983/1/1,Northeast Atlantic
41,RAPiD-10-1P,1P-SUERC135-136,62.98,62.9755,-17.59,-17.5895,12.75,0.2,12.512,0.039,1.48,0.211,"Thornalley et al., 2010",-1237,,Northeast Atlantic
42,DAPC2,DAPC2,58.97,59,-9.61,-9.6,12.761,0.2,11.38,0.11,0.365,0.25,"Knutz et al., 2007",-1709,,Northeast Atlantic
43,RAPiD-15-4P,4P-OS-75504471-472,62.29,62.293,-17.13,-17.134,12.799,0.101,12,0.05,0.755,0.139,"Thornalley et al., 2010",-2133,,Northeast Atlantic
44,RAPiD-15-4P,4P-SUERC472-473,62.29,62.293,-17.13,-17.134,12.833,0.101,11.811,0.042,0.428,0.095,"Thornalley et al., 2010",-2133,,Northeast Atlantic
45,MD95-2007,MD95-2007,57.5,57.5177,-8.4,-8.3862,12.973,0.071,11.471,0.062,0.389,0.094,"Austin et al., 2011",-158,1995/1/1,Northeast Atlantic
46,RAPiD-15-4P,4P-SUERC477-478,62.29,62.293,-17.13,-17.134,13.09,0.201,11.816,0.039,0.273,0.217,"Thornalley et al., 2010",-2133,,Northeast Atlantic
47,RAPiD-10-1P,1P-OS-75782140-141,62.98,62.9755,-17.59,-17.5895,13.11,0.201,12.65,0.05,1.273,0.009,"Thornalley et al., 2010",-1237,,Northeast Atlantic
48,MD01-2461,MD01-2461,51.75,51.7483,-12.92,-12.915,13.142,0.336,12.551,0.046,1.496,0.272,"Waelbroeck et al., 2019",-1153,2001/1/1,Northeast Atlantic
49,MD04-2829CQ,MD04-2829,58.9,58.9488,-9.6,-9.5717,13.2,0.2,11.574,0.15,0.196,0.259,this study,-1007,,Northeast Atlantic
50,MD01-2461,MD02-2461,51.75,51.7483,-12.92,-12.915,13.304,0.2,12.551,0.046,1.083,0.18,"Peck et al., 2006",-1153,2001/1/1,Northeast Atlantic
