id,cal_age,cal_sigma,rad_res,rad_res_sd,mid1,mid2,wmn,med,mode,mid1_resage,mid2_resage,wmn_resage,med_resage,mode_resage,Latitude,Longitude,group
TNO57-21,12980,200,12200,75,10492,11202,11261,11047,11049,1171,995,900,1146,1170,-41.1,7.8,Southern Ocean
MD07-3076,13241,93,12760,60,11068,11304,11400,11365,11369,1410,1444,1576,1393,1393,-44.1,-14.2,Southern Ocean
DrakePCoral,13397,76,12750,180,11536,11536,11712,11525,11521,1219,1218,1286,1220,1223,-57.75,-64,Southern Ocean
TNO57-21,13580,200,12700,55,11630,11462,11772,11749,11827,982,1242,1388,953,887,-41.1,7.8,Southern Ocean
DrakePCoral,13707,68,13150,180,11841,11820,11739,11834,11831,1302,1293,1324,1304,1308,-57.75,-64,Southern Ocean
MD07-3088,13812,233,12885,40,11540,11575,11818,11981,12027,950,1318,1298,919,855,-46,-75,Southern Ocean
RR0503-64JPC,13998,110,12720,45,12136,12034,12105,12065,12030,598,690,727,643,681,-37.42,-177,Southern Ocean
RR0503-79JPC,13998,110,12810,35,12136,12034,12105,12065,12030,683,780,747,736,773,-36.96,-176.59,Southern Ocean
MD07-3076,14097,93,13360,60,12164,12122,12158,12220,12258,1186,1225,1318,1153,1108,-44.1,-14.2,Southern Ocean
TNO57-21,14180,200,12950,55,12222,12009,12378,12283,12307,729,966,881,671,631,-41.1,7.8,Southern Ocean
MD97-2121,14324,254,12839,45,12051,12097,12546,12363,12400,576,757,703,483,440,-40.4,-178,Southern Ocean
MD07-3076,14491,69,13300,60,12426,12386,12374,12419,12414,877,910,960,877,879,-44.1,-14.2,Southern Ocean
MD07-3088,14491,464,13755,35,11838,12182,12854,12406,12405,1322,1584,1398,1348,1334,-46,-75,Southern Ocean
MD07-3076,14653,69,13430,60,12438,12430,12437,12456,12470,982,1007,1009,977,972,-44.1,-14.2,Southern Ocean
TNO57-21,14770,200,13150,70,12500,12504,12515,12468,12473,658,635,726,677,691,-41.1,7.8,Southern Ocean
MD07-3076,14792,69,13520,110,12433,12482,12516,12437,12479,1084,1072,1027,1083,1084,-44.1,-14.2,Southern Ocean
MD07-3076,15139,162,13440,60,12708,12801,12864,12697,12731,736,664,543,741,749,-44.1,-14.2,Southern Ocean
MD07-3076,15139,162,13380,60,12708,12801,12864,12697,12731,676,604,483,681,689,-44.1,-14.2,Southern Ocean
MD07-3076,15139,162,13380,70,12708,12801,12864,12697,12731,677,612,445,681,689,-44.1,-14.2,Southern Ocean
MD07-3076,15139,162,13450,60,12708,12801,12864,12697,12731,746,674,553,751,759,-44.1,-14.2,Southern Ocean
MD07-3076,15139,162,13260,60,12708,12801,12864,12697,12731,556,484,363,561,569,-44.1,-14.2,Southern Ocean
TNO57-21,15892,200,14750,65,13212,13228,13422,13240,13244,1526,1541,1424,1509,1501,-41.1,7.8,Southern Ocean
DrakePCoral,16402,310,14200,180,13552,13705,14310,13600,13624,618,610,501,607,596,-57.75,-64,Southern Ocean
TNO57-21,16453,200,14850,60,13614,13652,13622,13628,13626,1234,1188,1262,1220,1215,-41.1,7.8,Southern Ocean
MD07-3076,16574,324,15360,70,13647,13812,13783,13711,13814,1642,1546,1578,1649,1590,-44.1,-14.2,Southern Ocean
MD07-3076,16574,324,15360,60,13647,13812,13783,13711,13814,1638,1546,1555,1649,1576,-44.1,-14.2,Southern Ocean
MD07-3076,16574,324,15560,80,13647,13812,13783,13711,13814,1847,1745,1758,1850,1803,-44.1,-14.2,Southern Ocean
TNO57-21,17014,200,15650,80,14002,14057,14338,13973,13855,1646,1630,1505,1663,1764,-41.1,7.8,Southern Ocean
MD07-3076,17106,324,15650,180,14090,14257,14176,14100,14152,1560,1412,1222,1573,1593,-44.1,-14.2,Southern Ocean
MD07-3076,17569,347,16510,210,14305,14663,14872,14446,14460,2115,1890,1712,2086,2065,-44.1,-14.2,Southern Ocean
TNO57-21,17575,200,16050,65,14391,14505,14522,14447,14459,1658,1550,1545,1607,1593,-41.1,7.8,Southern Ocean
MD07-3076,17801,347,16698,50,14498,14792,14770,14535,14461,1541,1902,2026,2150,2229,-44.1,-14.2,Southern Ocean
MD97-2121,17845,380,15986,56,14521,14820,14705,14579,14461,845,1161,1205,1404,1514,-40.4,-178,Southern Ocean
RR0503-83GC,17906,147,15835,40,14594,14700,14625,14624,14670,1238,1134,1135,1213,1171,-36.74,-176.64,Southern Ocean
RR0503-83GC,17906,147,15965,40,14594,14700,14625,14624,14670,1368,1264,1265,1343,1301,-36.74,-176.64,Southern Ocean
RR0503-83GC,17906,147,15580,45,14594,14700,14625,14624,14670,982,879,860,959,919,-36.74,-176.64,Southern Ocean
RR0503-83GC,17906,147,15515,40,14594,14700,14625,14624,14670,918,814,815,893,851,-36.74,-176.64,Southern Ocean
RR0503-64JPC,17906,147,15020,60,14594,14700,14625,14624,14670,420,319,344,402,368,-37.42,-177,Southern Ocean
RR0503-64JPC,17906,147,15245,40,14594,14700,14625,14624,14670,648,544,545,623,581,-37.42,-177,Southern Ocean
MD07-3076,18009,324,17030,200,14830,14966,15211,14689,14695,2233,2077,1977,2316,2400,-44.1,-14.2,Southern Ocean
MD07-3076,18380,278,17400,120,14489,15204,15305,15146,15221,2334,2212,2213,2275,2213,-44.1,-14.2,Southern Ocean
TNO57-21,18697,200,16900,80,15432,15420,15411,15358,15210,1478,1480,1476,1544,1692,-41.1,7.8,Southern Ocean
MD07-3076,19028,231,18220,100,15148,15628,15553,15782,15780,2534,2590,2608,2438,2396,-44.1,-14.2,Southern Ocean
TNO57-21,19259,200,17400,70,16026,15810,16017,15969,15983,1402,1600,1585,1435,1422,-41.1,7.8,Southern Ocean
MD07-3076,19398,255,18070,130,16092,15983,15995,16042,15992,1969,2112,2011,1999,2053,-44.1,-14.2,Southern Ocean
TNO57-21,19820,200,18000,85,16402,16326,16096,16410,16367,1582,1652,1818,1574,1601,-41.1,7.8,Southern Ocean
