id,UncalibratedMinRange_at_95.0%,UncalibratedMaxRange_at_95.0%,Mode,MidRange,Median
HT_S938,20769.0,21353.0,21220.0,21061.0,21221.0
S931,20769.0,21353.0,21220.0,21061.0,21221.0
RR0503-36JPC,20769.0,21353.0,21220.0,21061.0,21221.0
MD07-3076,19140.0,22641.0,21981.0,20890.0,22013.0
MD07-3076,20158.0,24092.0,23278.0,22125.0,23224.0
MD07-3076,21675.0,24892.0,24140.0,23284.0,24213.0
MD07-3076,23513.0,26323.0,25307.0,24918.0,25554.0
MD07-3076,23644.0,27721.0,26319.0,25682.0,26476.0
MD07-3076,23938.0,28763.0,28402.0,26350.0,28248.0
MD07-3076,24469.0,29132.0,28426.0,26800.0,28453.0
MD04-2829CQ,56.0,1745.0,1591.0,900.0,1414.0
DAPC2,2382.0,3686.0,3381.0,3034.0,3426.0
94-609,4039.0,5050.0,4764.0,4544.0,4763.0
DAPC2,7189.0,8677.0,8232.0,7933.0,8251.0
RAPiD-15-4P,8658.0,9273.0,9200.0,8966.0,9184.0
RAPiD-17-5P,8658.0,9273.0,9200.0,8966.0,9184.0
RAPID-12-1K,8691.0,9411.0,9226.0,9051.0,9251.0
RAPiD-10-1P,8035.0,9605.0,9217.0,8820.0,9306.0
RAPiD-15-4P,8691.0,9624.0,9586.0,9158.0,9476.0
RAPiD-17-5P,8693.0,9626.0,9586.0,9160.0,9490.0
MD04-2829CQ,8674.0,9824.0,9589.0,9249.0,9577.0
RAPID-12-1K,8763.0,10055.0,10022.0,9409.0,9840.0
RAPiD-15-4P,9221.0,10082.0,10024.0,9652.0,9998.0
RAPiD-17-5P,9293.0,10120.0,10031.0,9706.0,10025.0
RAPiD-10-1P,9111.0,10215.0,10034.0,9663.0,10037.0
MD04-2829CQ,9135.0,10269.0,10035.0,9702.0,10057.0
RAPID-12-1K,9137.0,10278.0,10035.0,9708.0,10060.0
RAPiD-15-4P,9403.0,10227.0,10041.0,9815.0,10068.0
RAPiD-17-5P,9538.0,10201.0,10073.0,9870.0,10079.0
MD95-2007,9847.0,10227.0,10125.0,10037.0,10130.0
DAPC2,9302.0,10369.0,10211.0,9836.0,10182.0
RAPiD-15-4P,9842.0,10354.0,10210.0,10098.0,10245.0
RAPiD-10-1P,10061.0,10401.0,10356.0,10231.0,10353.0
RAPiD-15-4P,9838.0,10443.0,10367.0,10140.0,10367.0
RAPiD-17-5P,9231.0,10930.0,10369.0,10080.0,10383.0
MD95-2002,9445.0,10643.0,10370.0,10044.0,10382.0
NA87-22,7873.0,11474.0,10367.0,9674.0,10391.0
RAPiD-10-1P,10010.0,10508.0,10373.0,10259.0,10382.0
MD03-2697,8116.0,11399.0,10370.0,9758.0,10404.0
RAPiD-15-4P,9646.0,10690.0,10372.0,10168.0,10395.0
MD01-2461,9988.0,10563.0,10371.0,10276.0,10391.0
MD95-2007,10037.0,10571.0,10374.0,10304.0,10399.0
RAPiD-10-1P,10113.0,10592.0,10372.0,10352.0,10435.0
MD95-2007,10109.0,10604.0,10372.0,10356.0,10456.0
MD95-2007,10144.0,10719.0,10482.0,10432.0,10510.0
RAPiD-15-4P,9860.0,10997.0,10375.0,10428.0,10518.0
MD01-2461,9884.0,11024.0,10375.0,10454.0,10548.0
MD95-2007,10202.0,10866.0,10480.0,10534.0,10545.0
RAPiD-10-1P,10203.0,10889.0,10483.0,10546.0,10550.0
RAPiD-15-4P,10095.0,11053.0,10909.0,10574.0,10760.0
94-609,8768.0,11688.0,10372.0,10228.0,10877.0
RAPiD-10-1P,9916.0,11116.0,11045.0,10516.0,10854.0
DAPC2,9917.0,11164.0,11045.0,10540.0,10883.0
RAPiD-15-4P,10220.0,11051.0,10912.0,10636.0,10912.0
RAPiD-15-4P,10225.0,11064.0,10912.0,10644.0,10941.0
MD95-2007,10392.0,11137.0,11051.0,10764.0,11044.0
RAPiD-15-4P,10128.0,11550.0,11051.0,10839.0,11164.0
RAPiD-10-1P,10132.0,11568.0,11051.0,10850.0,11216.0
MD01-2461,9570.0,11846.0,11053.0,10708.0,11266.0
MD04-2829CQ,10225.0,11701.0,11051.0,10963.0,11338.0
MD01-2461,10233.0,11814.0,11517.0,11024.0,11431.0
NA87-22,9863.0,12087.0,11830.0,10975.0,11557.0
RAPiD-10-1P,10156.0,12014.0,11520.0,11085.0,11557.0
MD95-2007,10588.0,11891.0,11827.0,11240.0,11695.0
RAPiD-17-5P,10037.0,12142.0,11829.0,11090.0,11721.0
RAPiD-15-4P,10260.0,12041.0,11827.0,11150.0,11732.0
RAPiD-15-4P,10960.0,11908.0,11828.0,11434.0,11789.0
MD95-2007,10943.0,12074.0,11829.0,11508.0,11857.0
RAPiD-10-1P,10252.0,12278.0,12027.0,11265.0,11871.0
NA87-22,10076.0,12370.0,12024.0,11223.0,11922.0
RAPiD-15-4P,11217.0,12073.0,12021.0,11645.0,11909.0
94-609,10118.0,12377.0,12027.0,11248.0,11969.0
RAPiD-15-4P,11380.0,12235.0,12030.0,11808.0,12038.0
RAPiD-15-4P,11661.0,12154.0,12030.0,11908.0,12036.0
MD95-2007,11411.0,12380.0,12294.0,11896.0,12247.0
NA87-22,10409.0,12447.0,12401.0,11428.0,12256.0
RAPiD-10-1P,10971.0,12451.0,12398.0,11711.0,12309.0
RAPiD-15-4P,11681.0,12424.0,12310.0,12052.0,12324.0
RAPiD-17-5P,10831.0,12480.0,12400.0,11656.0,12340.0
MD03-2697,10045.0,12717.0,12404.0,11381.0,12391.0
94-609,11500.0,12488.0,12404.0,11994.0,12400.0
94-609,11500.0,12488.0,12404.0,11994.0,12400.0
MD04-2829CQ,11395.0,12520.0,12412.0,11958.0,12420.0
RAPiD-10-1P,11839.0,12505.0,12436.0,12172.0,12435.0
MD99-2331,11960.0,12540.0,12468.0,12250.0,12450.0
RAPiD-17-5P,11290.0,12754.0,12470.0,12022.0,12476.0
MD04-2845,11924.0,12628.0,12488.0,12276.0,12475.0
RAPiD-15-4P,11357.0,12781.0,12474.0,12069.0,12486.0
MD95-2002,11857.0,12657.0,12491.0,12257.0,12485.0
RAPiD-17-5P,11446.0,12874.0,12486.0,12160.0,12534.0
MD99-2331,11829.0,12804.0,12501.0,12316.0,12552.0
NA87-22,10891.0,13007.0,12481.0,11949.0,12587.0
MD95-2002,11847.0,12880.0,12626.0,12364.0,12618.0
MD01-2461,11826.0,12920.0,12628.0,12373.0,12643.0
MD95-2002,11841.0,12922.0,12631.0,12382.0,12658.0
RAPiD-10-1P,11843.0,12925.0,12631.0,12384.0,12663.0
MD01-2461,11876.0,12966.0,12739.0,12421.0,12732.0
RAPiD-15-4P,11475.0,13145.0,12905.0,12310.0,12794.0
MD04-2845,11836.0,13116.0,12901.0,12476.0,12840.0
MD95-2002,11706.0,13210.0,12905.0,12458.0,12882.0
DAPC2,12098.0,13111.0,12906.0,12604.0,12886.0
94-609,11051.0,13341.0,12907.0,12196.0,12897.0
MD04-2829CQ,12101.0,13128.0,12907.0,12614.0,12896.0
MD04-2845,11701.0,13358.0,12915.0,12530.0,12971.0
RAPiD-17-5P,11769.0,13356.0,12915.0,12562.0,12987.0
NA87-22,10962.0,13558.0,12916.0,12260.0,13028.0
MD95-2002,11559.0,13435.0,12918.0,12497.0,13027.0
MD95-2002,11456.0,13620.0,13237.0,12538.0,13169.0
RAPiD-10-1P,10892.0,13786.0,13241.0,12339.0,13225.0
MD99-2331,10407.0,13860.0,13386.0,12134.0,13263.0
DAPC2,12275.0,13555.0,13378.0,12915.0,13316.0
RAPiD-17-5P,12134.0,13688.0,13387.0,12911.0,13343.0
MD99-2331,10305.0,14040.0,13389.0,12172.0,13359.0
MD01-2461,10968.0,13954.0,13391.0,12461.0,13397.0
DAPC2,12410.0,13653.0,13396.0,13032.0,13407.0
94-609,10584.0,14115.0,13393.0,12350.0,13423.0
RAPiD-17-5P,12175.0,13846.0,13619.0,13010.0,13537.0
DAPC2,12618.0,13817.0,13621.0,13218.0,13603.0
MD99-2331,10268.0,14470.0,13827.0,12369.0,13642.0
NA87-22,10416.0,14478.0,13826.0,12447.0,13704.0
MD01-2461,12718.0,13875.0,13644.0,13296.0,13688.0
DAPC2,12724.0,13882.0,13788.0,13303.0,13699.0
RAPiD-17-5P,12200.0,14225.0,13824.0,13212.0,13802.0
MD99-2331,10531.0,14720.0,13830.0,12626.0,13883.0
94-609,10266.0,15045.0,14457.0,12656.0,13910.0
MD01-2461,10271.0,15115.0,14457.0,12693.0,13985.0
DAPC2,13031.0,14241.0,13855.0,13636.0,13951.0
DAPC2,13142.0,14434.0,14152.0,13788.0,14128.0
NA87-22,10269.0,15264.0,14457.0,12766.0,14160.0
MD99-2331,11818.0,15006.0,14459.0,13412.0,14198.0
MD95-2002,13255.0,14587.0,14454.0,13921.0,14409.0
MD95-2002,13267.0,14635.0,14456.0,13951.0,14429.0
MD01-2461,13410.0,14585.0,14455.0,13998.0,14430.0
GIK23415-9,9937.0,16063.0,14460.0,13000.0,14502.0
MD99-2331,12956.0,15046.0,14462.0,14001.0,14486.0
MD01-2461,10052.0,16074.0,14459.0,13063.0,14530.0
MD04-2829CQ,13593.0,14775.0,14466.0,14184.0,14544.0
RAPiD-17-5P,12805.0,15275.0,14462.0,14040.0,14651.0
DAPC2,13707.0,15209.0,14700.0,14458.0,14700.0
RAPiD-17-5P,12934.0,15393.0,14697.0,14164.0,14712.0
MD99-2331,13193.0,15468.0,14703.0,14330.0,14821.0
NA87-22,10235.0,16778.0,14459.0,13506.0,15219.0
MD04-2829CQ,13940.0,15520.0,15217.0,14730.0,15191.0
MD01-2461,10148.0,17192.0,15986.0,13670.0,15675.0
94-609,9443.0,17605.0,15982.0,13524.0,15829.0
MD04-2829CQ,14618.0,16387.0,15994.0,15502.0,16029.0
MD01-2461,14704.0,16406.0,15998.0,15555.0,16063.0
DAPC2,14859.0,16460.0,16362.0,15660.0,16192.0
NA87-22,11257.0,17779.0,16364.0,14518.0,16382.0
SU92-03,12754.0,17559.0,16366.0,15156.0,16526.0
MD01-2461,11719.0,17929.0,16365.0,14824.0,16648.0
DAPC2,15615.0,16997.0,16687.0,16306.0,16686.0
GIK23415-9,11880.0,18087.0,17131.0,14984.0,16776.0
MD01-2461,15669.0,17090.0,16710.0,16380.0,16743.0
MD04-2829CQ,15701.0,17121.0,16735.0,16411.0,16778.0
MD04-2845,13087.0,17808.0,17128.0,15448.0,16829.0
94-609,9417.0,19553.0,17561.0,14485.0,17337.0
MD01-2461,12639.0,18340.0,17560.0,15490.0,17192.0
NA87-22,13152.0,18297.0,17558.0,15724.0,17354.0
MD04-2829CQ,16172.0,17596.0,17531.0,16884.0,17368.0
MD01-2461,16179.0,17603.0,17536.0,16891.0,17393.0
RAPiD-17-5P,13956.0,18726.0,17808.0,16341.0,17704.0
MD01-2461,13960.0,18818.0,17813.0,16389.0,17798.0
NA87-22,14631.0,18818.0,17810.0,16724.0,17878.0
MD01-2461,16930.0,18173.0,17823.0,17552.0,17873.0
94-609,10273.0,20612.0,17813.0,15442.0,18210.0
GIK23415-9,14294.0,19287.0,17815.0,16790.0,18010.0
94-609,10288.0,20767.0,17812.0,15528.0,18503.0
MD95-2002,16331.0,19060.0,18772.0,17696.0,18349.0
94-609,10876.0,20995.0,18782.0,15936.0,18754.0
DAPC2,17397.0,18829.0,18744.0,18113.0,18542.0
MD95-2002,16675.0,19267.0,18779.0,17971.0,18678.0
MD99-2331,16699.0,19368.0,18781.0,18034.0,18751.0
MD95-2002,17145.0,19441.0,18786.0,18293.0,18831.0
MD99-2331,17116.0,19546.0,18789.0,18331.0,19034.0
MD01-2461,16408.0,19768.0,18788.0,18088.0,19081.0
DAPC2,17703.0,19408.0,18801.0,18556.0,19064.0
MD04-2829CQ,17714.0,19418.0,18802.0,18566.0,19096.0
