id,Reservoir_derived_14C_age,Reservoir_derived_14C_error,Calendar_age,Calendar_age_error
RAPiD-15-4P,11816,39,13090,201
RAPiD-10-1P,12650,50,13110,201
MD01-2461,12551,46,13142,336
MD04-2829CQ,11574,150,13200,200
MD01-2461,12551,46,13304,200
NA87-22,11690,120,13423,349
RAPiD-10-1P,12800,60,13430,250
MD95-2007,12353,74,13536,140
RAPiD-17-5P,12754,43,13550,300
RAPiD-15-4P,12100,45,13566,201
RAPiD-15-4P,11793,49,13614,101
MD95-2007,12630,100,13740,138
RAPiD-10-1P,12900,60,13750,251
NA87-22,12920,120,13777,328
RAPiD-15-4P,12155,40,13783,101
94-609,12750,220,13797,324
RAPiD-15-4P,12560,39,13940,101
RAPiD-15-4P,12636,43,13970,53
MD95-2007,12790,120,14126,121
NA87-22,12380,120,14134,261
RAPiD-10-1P,12700,55,14230,201
RAPiD-15-4P,12487,43,14263,101
RAPiD-17-5P,12850,55,14286,251
MD03-2697,12520,60,14423,441
94-609,13650,90,14428,161
94-609,12740,140,14428,161
MD04-2829CQ,12686,150,14540,200
RAPiD-10-1P,12914,44,14550,102
MD99-2331,13640,80,14726,117
RAPiD-17-5P,13450,60,14789,251
MD04-2845,13890,100,14815,134
RAPiD-15-4P,14281,44,14822,251
MD95-2002,13730,130,14838,146
RAPiD-17-5P,13528,45,14928,251
MD99-2331,13810,80,14955,186
NA87-22,14580,130,14990,354
MD95-2002,14200,110,15037,188
MD01-2461,14530,58,15071,212
MD95-2002,14420,120,15091,202
RAPiD-10-1P,13479,47,15097,202
MD01-2461,11950,43,15182,200
RAPiD-15-4P,14657,48,15253,301
MD04-2845,14240,110,15306,248
MD95-2002,14570,130,15369,281
DAPC2,13410,130,15379,200
94-609,14990,230,15393,384
MD04-2829CQ,14468,150,15400,200
MD04-2845,14450,110,15533,316
RAPiD-17-5P,14100,55,15555,301
NA87-22,15660,120,15598,444
MD95-2002,14830,70,15603,350
MD95-2002,14810,200,15778,391
RAPiD-10-1P,14950,49,15850,500
MD99-2331,14130,120,15905,565
DAPC2,14400,110,16005,200
RAPiD-17-5P,15087,50,16039,301
MD99-2331,13920,90,16040,601
MD01-2461,15118,64,16111,526
DAPC2,14900,110,16148,200
94-609,16360,240,16149,577
RAPiD-17-5P,15300,65,16317,301
DAPC2,15330,100,16410,200
MD99-2331,13930,80,16437,702
NA87-22,15800,140,16535,661
MD01-2461,14530,58,16547,200
DAPC2,15390,130,16563,200
RAPiD-17-5P,15750,60,16728,351
MD99-2331,15130,90,16872,703
94-609,16760,150,16899,796
MD01-2461,15518,63,16970,787
DAPC2,15400,170,16996,200
DAPC2,15560,140,17155,200
NA87-22,16700,140,17163,832
MD99-2331,15060,90,17264,582
MD95-2002,15300,70,17473,230
MD95-2002,15280,160,17519,234
MD01-2461,15118,64,17520,200
GIK23415-9,15810,100,17651,1013
MD99-2331,15540,90,17704,336
MD01-2461,15174,60,17706,990
MD04-2829CQ,16559,150,17820,200
RAPiD-17-5P,16207,53,17932,401
DAPC2,16430,130,18038,200
RAPiD-17-5P,16350,65,18050,401
MD99-2331,16170,130,18177,362
NA87-22,17590,140,18412,1073
MD04-2829CQ,16603,150,18485,200
MD01-2461,17130,77,18772,1143
94-609,17360,120,18892,1357
MD04-2829CQ,17197,150,19381,200
MD01-2461,15518,63,19427,200
DAPC2,17310,130,19533,200
NA87-22,18110,180,19644,1071
SU92-03,16780,120,19889,755
MD01-2461,18233,87,20012,1062
DAPC2,17870,130,20177,200
GIK23415-9,17880,120,20184,1061
MD01-2461,15174,60,20254,200
MD04-2829CQ,17921,150,20298,200
MD04-2845,17290,150,20308,745
94-609,19340,220,20626,1649
MD01-2461,18665,89,20709,918
NA87-22,19310,270,20850,818
MD04-2829CQ,18619,150,20921,200
MD01-2461,17130,77,20939,200
RAPiD-17-5P,18321,63,21373,701
MD01-2461,19128,94,21536,724
NA87-22,20160,230,21757,598
MD01-2461,18233,87,21784,200
94-609,20370,330,21880,1639
GIK23415-9,19840,160,21919,711
94-609,20950,260,22126,1619
MD95-2002,18850,90,22295,402
94-609,21510,220,22373,1591
DAPC2,19730,140,22424,200
MD95-2002,19430,100,22505,361
MD99-2331,19770,170,22625,376
MD95-2002,20148,70,22823,322
MD99-2331,22290,170,22953,348
MD01-2461,20193,118,22957,496
DAPC2,20280,150,22974,200
MD04-2829CQ,20385,150,22987,200
MD99-2331,20860,250,23035,344
MD95-2002,20620,80,23039,305
MD01-2461,18665,89,23109,200
94-609,21770,220,23112,1464
MD99-2331,20550,240,23119,340
MD99-2331,20460,140,23237,331
DAPC2,20450,170,23320,200
MD04-2829CQ,20665,150,23400,200
MD99-2331,21620,160,23460,303
MD04-2845,20820,140,23468,258
MD95-2002,20240,60,23493,290
MD99-2331,21740,160,23514,296
MD99-2331,22690,180,23636,281
MD99-2331,22150,170,23758,271
NA87-22,20770,210,23795,587
MD04-2845,21110,140,23822,257
94-609,22780,340,23841,1304
DAPC2,21410,200,23930,200
MD99-2331,22440,170,24016,287
MD01-2461,19128,94,24082,200
MD95-2002,20430,80,24085,345
MD99-2331,22430,180,24119,295
