id,cal_age,cal_sigma,rad_res,rad_res_sd,mid1,mid2,wmn,med,mode,mid1_resage,mid2_resage,wmn_resage,med_resage,mode_resage
H82-2,11523,31,10455,20,10035.0,10034.0,10034.0,10034.0,10035.0,420.0,420.0,420.0,419.0,421.0
H82-2-2,11523,31,10465,20,10035.0,10034.0,10034.0,10034.0,10035.0,430.0,430.0,430.0,429.0,431.0
H82-4,11824,26,10740,20,10169.0,10171.0,10173.0,10171.0,10192.0,571.0,570.0,571.0,568.0,559.0
H82-6,12548,32,11050,20,10512.0,10491.0,10458.0,10500.0,10477.0,540.0,556.0,581.0,546.0,565.0
H82-8,12999,26,11655,20,11055.0,11087.0,11155.0,11053.0,11056.0,601.0,585.0,521.0,600.0,601.0
H82-10,13497,39,12220,20,11648.0,11670.0,11729.0,11646.0,11615.0,571.0,556.0,508.0,571.0,599.0
H82-10-2,13497,39,12215,20,11648.0,11670.0,11729.0,11646.0,11615.0,566.0,550.0,503.0,566.0,594.0
H82-core-5,10730,50,9955,25,9498.0,9480.0,9438.0,9492.0,9480.0,458.0,467.0,492.0,460.0,468.0
H82-core-5-2,10730,50,9970,20,9498.0,9480.0,9438.0,9492.0,9480.0,474.0,484.0,526.0,476.0,485.0
H82-core-7,10900,55,10050,20,9594.0,9567.0,9516.0,9597.0,9600.0,456.0,475.0,512.0,451.0,449.0
H82-core-14,11370,55,10340,25,9983.0,9884.0,9758.0,9974.0,9960.0,359.0,439.0,556.0,362.0,371.0
H82-core-19,11560,40,10385,25,10034.0,10041.0,10052.0,10031.0,10030.0,352.0,347.0,340.0,351.0,353.0
H82-core-19-2,11560,40,10425,20,10034.0,10041.0,10052.0,10031.0,10030.0,392.0,386.0,375.0,392.0,394.0
H82-core-21,11640,40,10475,25,10058.0,10064.0,10094.0,10061.0,10068.0,416.0,416.0,401.0,413.0,412.0
H82-core-25,11880,35,10635,25,10209.0,10202.0,10200.0,10209.0,10212.0,426.0,432.0,436.0,424.0,425.0
H82-core-30,12130,40,10765,25,10358.0,10364.0,10363.0,10356.0,10356.0,407.0,402.0,397.0,407.0,408.0
